episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.279943,301.83,0.9961,0.3307,35,0.38
1,730,0.99,,0.302558,255.04,0.8417,0.37,33,0.34
2,1095,0.9851,0.79584,0.292684,286.72,0.9463,0.3927,47,1.49
3,1460,0.9801,0.147423,0.235007,209.1,0.6901,0.348,74,4.65
4,1825,0.9752,0.119755,0.279278,291.02,0.9605,0.3465,42,4.83
5,2190,0.9704,0.085224,0.225659,196.8,0.6495,0.3534,104,4.72
6,2555,0.9655,0.080396,0.238421,215.57,0.7115,0.362,49,4.28
7,2920,0.9607,0.078796,0.323337,308.13,1.0169,0.3617,31,4.05
8,3285,0.9559,0.079372,0.20724,259.17,0.8553,0.3282,28,4.03
9,3650,0.9511,0.076479,0.249687,265.22,0.8753,0.3545,26,4.19
10,4015,0.9464,0.075566,0.261912,252.46,0.8332,0.3501,45,4.23
11,4380,0.9416,0.074355,0.268878,278.85,0.9203,0.364,71,4.28
12,4745,0.9369,0.07627,0.33942,355.7,1.1739,0.3337,40,4.19
13,5110,0.9322,0.078598,0.265003,312.66,1.0319,0.3425,35,3.58
14,5475,0.9276,0.079114,0.248083,309.35,1.021,0.3299,29,4.52
15,5840,0.9229,0.078839,0.290897,277.97,0.9174,0.3528,71,4.12
16,6205,0.9183,0.080095,0.297287,315.61,1.0416,0.3414,53,3.96
17,6570,0.9137,0.083968,0.307222,273.2,0.9017,0.3541,46,4.06
18,6935,0.9092,0.082525,0.292428,346.43,1.1433,0.3412,70,4.05
19,7300,0.9046,0.086795,0.267283,271.31,0.8954,0.3354,59,4.23
20,7665,0.9001,0.086165,0.281217,282.88,0.9336,0.3492,34,3.97
21,8030,0.8956,0.086671,0.266463,251.0,0.8284,0.3601,38,3.61
22,8395,0.8911,0.086952,0.311519,294.96,0.9735,0.3304,46,4.91
23,8760,0.8867,0.088239,0.253643,265.22,0.8753,0.3591,36,3.88
24,9125,0.8822,0.087166,0.262194,282.35,0.9319,0.3591,89,3.98
25,9490,0.8778,0.088247,0.348751,341.47,1.1269,0.3842,18,3.94
26,9855,0.8734,0.090362,0.245892,199.97,0.66,0.3616,120,4.04
27,10220,0.8691,0.090508,0.336759,327.7,1.0815,0.3878,54,4.02
28,10585,0.8647,0.091634,0.329037,308.84,1.0193,0.3528,45,4.45
29,10950,0.8604,0.091622,0.257932,212.17,0.7002,0.3654,104,4.16
30,11315,0.8561,0.093208,0.248144,246.99,0.8151,0.3712,100,4.53
31,11680,0.8518,0.092617,0.254471,235.62,0.7776,0.3673,79,4.35
32,12045,0.8475,0.093786,0.301709,280.73,0.9265,0.36,83,4.94
33,12410,0.8433,0.094944,0.33414,310.63,1.0252,0.3695,86,4.22
34,12775,0.8391,0.096758,0.308961,271.19,0.895,0.3467,55,4.05
35,13140,0.8349,0.09724,0.290986,282.29,0.9316,0.3547,97,4.03
36,13505,0.8307,0.096291,0.244289,218.31,0.7205,0.3661,109,3.35
37,13870,0.8266,0.096953,0.292912,306.23,1.0107,0.3618,98,4.03
38,14235,0.8224,0.099227,0.372541,331.47,1.0939,0.3513,61,4.17
39,14600,0.8183,0.100473,0.249247,229.75,0.7583,0.3587,100,4.13
40,14965,0.8142,0.099349,0.321941,300.72,0.9925,0.3766,113,4.07
41,15330,0.8102,0.10069,0.33104,254.52,0.84,0.3693,94,4.08
42,15695,0.8061,0.101737,0.226961,217.76,0.7187,0.3522,108,4.12
43,16060,0.8021,0.101414,0.306373,277.77,0.9167,0.3966,123,4.24
44,16425,0.7981,0.102156,0.286741,273.7,0.9033,0.3657,104,3.45
45,16790,0.7941,0.103837,0.275432,280.64,0.9262,0.349,90,4.02
46,17155,0.7901,0.103148,0.243889,236.51,0.7806,0.3555,82,4.03
47,17520,0.7862,0.103134,0.295598,285.25,0.9414,0.4,82,4.03
48,17885,0.7822,0.104088,0.297754,265.63,0.8767,0.3598,95,4.28
49,18250,0.7783,0.10452,0.304233,269.33,0.8889,0.3596,104,4.28
50,18615,0.7744,0.104903,0.312817,289.22,0.9545,0.3845,106,4.09
51,18980,0.7705,0.104155,0.249008,212.55,0.7015,0.3416,123,4.11
52,19345,0.7667,0.105516,0.297973,249.12,0.8222,0.3526,109,3.89
53,19710,0.7629,0.105972,0.237741,240.49,0.7937,0.3422,129,4.51
54,20075,0.759,0.104952,0.273819,221.68,0.7316,0.3565,149,4.26
55,20440,0.7553,0.10374,0.30038,304.73,1.0057,0.364,133,4.52
56,20805,0.7515,0.105429,0.305104,275.56,0.9094,0.3476,94,4.29
57,21170,0.7477,0.105372,0.224348,211.22,0.6971,0.3348,126,4.55
58,21535,0.744,0.105128,0.248326,214.83,0.709,0.3454,127,4.4
59,21900,0.7403,0.104955,0.288903,249.57,0.8237,0.3511,96,4.26
60,22265,0.7366,0.104787,0.267613,211.37,0.6976,0.344,154,4.47
61,22630,0.7329,0.106228,0.249892,221.35,0.7305,0.342,150,4.5
62,22995,0.7292,0.104931,0.290404,309.95,1.0229,0.3554,103,4.49
63,23360,0.7256,0.107179,0.31329,251.78,0.8309,0.3533,75,4.59
64,23725,0.7219,0.107749,0.216907,217.64,0.7183,0.3423,123,5.02
