episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.304349,332.74,1.0982,0.4008,45,0.32
1,730,0.99,,0.257267,297.11,0.9805,0.3482,51,0.33
2,1095,0.9851,0.72654,0.304371,323.87,1.0689,0.3308,10,1.22
3,1460,0.9801,0.3507,0.304718,373.68,1.2333,0.3625,45,3.73
4,1825,0.9752,0.103461,0.309714,309.63,1.0219,0.3444,17,3.84
5,2190,0.9704,0.095007,0.28686,237.3,0.7832,0.3536,39,3.82
6,2555,0.9655,0.090712,0.322465,282.32,0.9317,0.3469,38,3.8
7,2920,0.9607,0.087677,0.262484,248.39,0.8198,0.3726,63,3.78
8,3285,0.9559,0.085053,0.258493,259.27,0.8557,0.3457,65,3.83
9,3650,0.9511,0.081317,0.27863,245.06,0.8088,0.3636,66,3.75
10,4015,0.9464,0.07957,0.313669,289.74,0.9562,0.3436,38,3.84
11,4380,0.9416,0.079239,0.253265,250.83,0.8278,0.3473,23,3.84
12,4745,0.9369,0.079462,0.320735,324.45,1.0708,0.3177,20,3.86
13,5110,0.9322,0.083595,0.322201,346.6,1.1439,0.3424,22,3.76
14,5475,0.9276,0.08556,0.348511,383.32,1.2651,0.3041,37,3.81
15,5840,0.9229,0.087949,0.228882,210.54,0.6949,0.356,57,3.75
16,6205,0.9183,0.087668,0.303039,275.14,0.908,0.3419,60,3.65
17,6570,0.9137,0.089607,0.304322,324.37,1.0705,0.3474,50,3.66
18,6935,0.9092,0.091295,0.37811,331.71,1.0948,0.3363,37,3.68
19,7300,0.9046,0.096536,0.354541,433.79,1.4317,0.2977,16,3.7
20,7665,0.9001,0.098603,0.292084,281.85,0.9302,0.3397,36,3.72
21,8030,0.8956,0.098785,0.287067,253.53,0.8367,0.376,65,3.73
22,8395,0.8911,0.097746,0.268936,219.54,0.7246,0.3488,100,3.73
23,8760,0.8867,0.098594,0.288347,338.45,1.117,0.3371,43,3.74
