episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.304349,332.74,1.0982,0.4008,45,0.28
1,730,0.99,,0.257267,297.11,0.9805,0.3482,51,0.34
2,1095,0.9851,0.802328,0.304371,323.87,1.0689,0.3308,10,1.35
3,1460,0.9801,0.519176,0.309627,378.18,1.2481,0.3702,47,4.21
4,1825,0.9752,0.142012,0.333083,353.33,1.1661,0.3574,20,4.25
5,2190,0.9704,0.100483,0.305289,252.63,0.8338,0.3583,30,3.89
6,2555,0.9655,0.095803,0.322465,282.32,0.9317,0.3469,38,4.02
7,2920,0.9607,0.09257,0.263139,254.44,0.8397,0.3623,59,3.78
8,3285,0.9559,0.090233,0.267173,288.02,0.9506,0.3418,65,4.0
9,3650,0.9511,0.086946,0.278166,238.53,0.7872,0.3707,65,4.14
10,4015,0.9464,0.085644,0.323602,304.87,1.0062,0.3381,35,4.09
11,4380,0.9416,0.085818,0.285969,295.82,0.9763,0.3451,10,4.34
12,4745,0.9369,0.088173,0.342359,334.36,1.1035,0.3064,14,3.92
13,5110,0.9322,0.0943,0.348499,344.09,1.1356,0.3551,32,3.92
14,5475,0.9276,0.096069,0.337013,383.55,1.2659,0.3072,38,3.74
15,5840,0.9229,0.100851,0.291432,263.43,0.8694,0.3664,48,4.34
16,6205,0.9183,0.102561,0.308735,327.24,1.08,0.3279,59,4.14
17,6570,0.9137,0.105069,0.327601,349.7,1.1541,0.35,38,4.1
18,6935,0.9092,0.106928,0.37244,322.4,1.064,0.331,32,3.96
19,7300,0.9046,0.114299,0.401429,439.27,1.4497,0.3112,14,3.31
20,7665,0.9001,0.117348,0.299596,292.29,0.9647,0.3356,33,3.89
21,8030,0.8956,0.117451,0.282381,256.76,0.8474,0.3595,60,3.6
22,8395,0.8911,0.116367,0.264962,215.16,0.7101,0.3546,110,3.46
23,8760,0.8867,0.117561,0.29277,318.96,1.0527,0.3496,50,3.09
24,9125,0.8822,0.118887,0.302512,293.2,0.9677,0.3525,52,3.76
25,9490,0.8778,0.118245,0.274641,247.4,0.8165,0.3477,53,4.05
26,9855,0.8734,0.118087,0.31125,249.64,0.8239,0.3649,73,4.25
27,10220,0.8691,0.119762,0.344835,302.42,0.9981,0.3401,17,4.0
28,10585,0.8647,0.120438,0.281993,248.11,0.8188,0.3564,61,4.27
29,10950,0.8604,0.118569,0.276302,252.18,0.8323,0.3573,57,3.92
30,11315,0.8561,0.120813,0.294738,284.82,0.94,0.3568,53,3.7
31,11680,0.8518,0.119917,0.321795,312.84,1.0325,0.3951,46,4.15
32,12045,0.8475,0.121137,0.290866,249.16,0.8223,0.3606,91,3.5
33,12410,0.8433,0.120517,0.322453,279.09,0.9211,0.3598,59,3.49
34,12775,0.8391,0.123919,0.386775,367.81,1.2139,0.3539,32,3.55
35,13140,0.8349,0.126604,0.39131,314.43,1.0377,0.3665,30,3.74
36,13505,0.8307,0.126562,0.31867,300.01,0.9901,0.3402,37,3.81
37,13870,0.8266,0.128722,0.327453,273.34,0.9021,0.3457,27,3.76
38,14235,0.8224,0.128893,0.305084,275.73,0.91,0.3711,59,4.16
39,14600,0.8183,0.129605,0.308615,281.6,0.9294,0.3603,67,4.13
40,14965,0.8142,0.130812,0.39328,370.73,1.2235,0.3324,36,3.95
41,15330,0.8102,0.133828,0.343823,345.57,1.1405,0.3334,37,3.84
42,15695,0.8061,0.135359,0.24662,219.96,0.7259,0.3525,73,3.55
43,16060,0.8021,0.134643,0.324194,280.05,0.9243,0.3607,48,3.35
44,16425,0.7981,0.130706,0.286253,257.85,0.851,0.3581,66,4.03
45,16790,0.7941,0.132742,0.303829,270.49,0.8927,0.3593,66,3.78
46,17155,0.7901,0.134134,0.384161,356.25,1.1757,0.3354,65,3.63
47,17520,0.7862,0.1348,0.347823,292.83,0.9664,0.3439,33,3.85
48,17885,0.7822,0.135609,0.273761,254.45,0.8398,0.3376,78,3.6
49,18250,0.7783,0.136269,0.355049,348.03,1.1486,0.35,46,3.83
50,18615,0.7744,0.137907,0.340028,369.08,1.2181,0.3725,50,4.37
51,18980,0.7705,0.13731,0.312062,311.16,1.0269,0.3844,68,3.83
52,19345,0.7667,0.138193,0.353164,313.88,1.0359,0.3483,88,3.6
53,19710,0.7629,0.139994,0.325503,313.99,1.0363,0.386,28,3.47
54,20075,0.759,0.138777,0.338008,275.14,0.9081,0.3569,95,3.43
55,20440,0.7553,0.141247,0.318627,259.04,0.8549,0.3614,70,3.68
56,20805,0.7515,0.141828,0.309301,241.31,0.7964,0.3621,84,3.8
57,21170,0.7477,0.139859,0.2381,221.28,0.7303,0.3517,88,3.94
58,21535,0.744,0.138111,0.259368,230.77,0.7616,0.3786,104,3.94
59,21900,0.7403,0.139306,0.302374,331.84,1.0952,0.3572,55,3.88
60,22265,0.7366,0.1398,0.347378,299.28,0.9877,0.3637,77,3.1
61,22630,0.7329,0.141365,0.348444,320.44,1.0576,0.3432,52,3.0
62,22995,0.7292,0.142088,0.302038,261.57,0.8633,0.3506,74,4.12
63,23360,0.7256,0.144267,0.313003,259.8,0.8574,0.3615,109,4.22
64,23725,0.7219,0.144629,0.374233,333.73,1.1014,0.3619,41,3.84
65,24090,0.7183,0.145035,0.359312,339.91,1.1218,0.3762,69,3.34
66,24455,0.7147,0.14494,0.315353,289.49,0.9554,0.3977,91,4.11
67,24820,0.7112,0.146921,0.348379,295.5,0.9752,0.3579,96,3.97
68,25185,0.7076,0.145327,0.344119,305.74,1.0091,0.3697,88,4.24
69,25550,0.7041,0.144576,0.29201,263.15,0.8685,0.3351,46,3.61
70,25915,0.7005,0.143917,0.351053,300.89,0.993,0.3535,87,4.11
71,26280,0.697,0.147133,0.349349,351.91,1.1614,0.2899,112,3.67
72,26645,0.6936,0.14594,0.349066,291.25,0.9612,0.356,89,3.55
73,27010,0.6901,0.146689,0.299193,290.02,0.9572,0.3334,121,4.37
74,27375,0.6866,0.148149,0.330386,291.58,0.9623,0.3457,80,4.05
75,27740,0.6832,0.146525,0.326676,275.77,0.9101,0.34,60,3.88
76,28105,0.6798,0.145997,0.363661,302.17,0.9973,0.3557,79,4.06
77,28470,0.6764,0.144542,0.333574,277.16,0.9147,0.367,101,4.0
78,28835,0.673,0.144765,0.376687,356.58,1.1768,0.3031,123,3.95
79,29200,0.6696,0.147195,0.32393,256.75,0.8474,0.3536,91,4.16
80,29565,0.6663,0.147945,0.302613,270.41,0.8924,0.3601,78,4.22
81,29930,0.663,0.145886,0.320435,288.35,0.9517,0.3276,107,4.09
