experiment,algorithm,n_agents,seed,rl_profit_per_agent_step,delta,episodes_used,mean_price_ratio,greedy_profit_per_agent_step,delta_greedy
E1,dqn,2,42,0.355208669584245,-0.8904565744012567,457,1.074834135667396,0.4077654780114826,-0.18321289957599585
E1,dqn,2,43,0.36043572866520784,-0.8201173627258189,457,1.1031472647702405,0.40555292410403637,-0.2129866777615125
E1,dqn,2,44,0.36655838512035016,-0.7377263237603835,457,1.126045295404814,0.372018585485482,-0.6642497888055564
E1,dqn,2,45,0.3638987549234136,-0.7735162944691604,457,1.1044678336980307,0.3499582193577513,-0.9611105548044523
E1,dqn,2,46,0.36709722757111596,-0.7304752572204687,457,1.1099315098468272,0.36226755620153334,-0.7954669229977184
E1,dqn,2,47,0.37480707221006565,-0.6267258284032361,457,1.1694757111597374,0.3394380451941684,-1.102677877058331
E1,dqn,2,48,0.36358879212253836,-0.7776873854640339,457,1.1085122538293217,0.3677271101884488,-0.7219990861910242
E1,dqn,2,49,0.36874161487964996,-0.7083471532178502,457,1.1019634573304158,0.3957297051134445,-0.34517525057292725
E1,dqn,2,50,0.3474923019693655,-0.9942937812553503,457,1.041815317286652,0.3682198808910269,-0.7153679955109254
E1,dqn,2,51,0.3575583916849016,-0.8588369585414539,457,1.080763457330416,0.4020807930507868,-0.2597102669416821
E1,dqn,2,52,0.3678690787746171,-0.7200886508431388,457,1.1405903719912474,0.362729829866642,-0.789246223235498
E1,dqn,2,53,0.36699111378555804,-0.731903203587332,457,1.1142936542669584,0.39623480961976404,-0.3383781870161706
E1,dqn,2,54,0.36777191903719914,-0.721396104849439,457,1.1403947483588621,0.38603633454217834,-0.4756164860554157
E1,dqn,2,55,0.3605300306345733,-0.8188483649812239,457,1.083229102844639,0.3629003505219612,-0.7869515699163466
E1,dqn,2,56,0.36765149452954043,-0.7230166269831884,457,1.1189634573304157,0.3641701714226142,-0.7698639113042163
E1,dqn,2,57,0.3648807242888403,-0.7603021811439254,457,1.0790175054704596,0.3724021006140106,-0.6590889227452219
E1,dqn,2,58,0.36830365426695844,-0.7142406783845754,457,1.129422100656455,0.35638590285562366,-0.8746148440928215
E1,dqn,2,59,0.36428442231947483,-0.7683264658891344,457,1.09907352297593,0.3770270753580875,-0.5968518076718532
E1,dqn,2,60,0.36855411378555797,-0.7108703080057398,457,1.1239354485776805,0.3730109465891897,-0.6508958364872462
E1,dqn,2,61,0.3647528993435448,-0.7620222890947393,457,1.1443323851203502,0.37768214908143977,-0.5880366463017228
E2,dqn,4,42,0.7563583873085339,-1.1320448122756006,457,1.8697708971553613,0.6818565607035809,-1.7982793650232274
E2,dqn,4,43,0.7132062932166303,-1.5179335537676326,457,1.758059956236324,0.8042553282901082,-0.7037251521141793
E2,dqn,4,44,0.7297910371991247,-1.3696240425364477,457,1.7979577680525165,0.7849962272385757,-0.8759501720915563
E2,dqn,4,45,0.7759693369803062,-0.9566733767159139,457,1.9201980306345734,0.8489815447770307,-0.3037597795164912
E2,dqn,4,46,0.7693073413566739,-1.0162484485896854,457,1.9202251641137855,0.83670886314033,-0.4135085592960425
E2,dqn,4,47,0.7483952253829321,-1.2032555981814528,457,1.844411159737418,0.8374129362340906,-0.40721236705352815
E2,dqn,4,48,0.7226931706783369,-1.4330969014237092,457,1.806399781181619,0.6735942182327801,-1.8721655808588502
E2,dqn,4,49,0.755973715536105,-1.1354847497635459,457,1.8619422319474837,0.7881466608848301,-0.8477773359756984
E2,dqn,4,50,0.7190321969365426,-1.4658352558323646,457,1.7772048140043766,0.7393991465311961,-1.2837032709888505
E2,dqn,4,51,0.7313596892778994,-1.3555963298783316,457,1.8191894967177242,0.790611258405384,-0.8257376075336577
E2,dqn,4,52,0.7484671334792123,-1.2026125581306601,457,1.849414442013129,0.765946387999041,-1.0463038627864605
E2,dqn,4,53,0.7347026017505471,-1.325702246772175,457,1.8225951859956235,0.8194583993019191,-0.5677712879270306
E2,dqn,4,54,0.765180249452954,-1.053155076976168,457,1.899717067833698,0.7859489499056262,-0.8674304244705928
E2,dqn,4,55,0.770701,-1.003785619351382,457,1.8909074398249455,0.7790452160121083,-0.9291672472095239
E2,dqn,4,56,0.7525055601750547,-1.166498820708151,457,1.8484466083150983,0.8130026848024674,-0.6255016853978845
E2,dqn,4,57,0.721430566739606,-1.4443877705037145,457,1.7694330415754924,0.649724306607433,-2.085622896209844
E2,dqn,4,58,0.7345001728665208,-1.3275124724157368,457,1.8309807439824946,0.8080180505721977,-0.6700769086957451
E2,dqn,4,59,0.7452693763676149,-1.2312085855856303,457,1.854659956236324,0.659070598599667,-2.0020434331409374
E2,dqn,4,60,0.7657891991247263,-1.0477095284479383,457,1.8934175054704594,0.7193690526318488,-1.4628229148773861
E2,dqn,4,61,0.7456652035010941,-1.2276688909867686,457,1.8467105032822757,0.6955986492793781,-1.6753903748691814
E3,ppo,2,42,0.4335584070021882,0.16387602058072637,457,1.5461822757111596,0.41367828292855047,-0.10364577966875411
E3,ppo,2,43,0.44121624726477027,0.26692563966160227,457,1.6164564551422322,0.2680181047216753,-2.063757947692717
E3,ppo,2,44,0.4506782691466083,0.39425367435862646,457,1.6872089715536105,0.2776192745869595,-1.9345574337850644
E3,ppo,2,45,0.4208040984682713,-0.007755482688176633,457,1.4995986870897156,0.386488647210655,-0.4695298289048708
E3,ppo,2,46,0.454337466083151,0.4434945618050681,457,1.6975028446389497,0.4438279475789104,0.302070630063217
E3,ppo,2,47,0.4452169890590809,0.320762609852678,457,1.6652,0.4615851542968029,0.5410248685265548
E3,ppo,2,48,0.44789998030634576,0.35686694430568494,457,1.6457181619256018,0.44940316919522777,0.3770949768963864
E3,ppo,2,49,0.4465094748358862,0.33815526396927437,457,1.6161956236323851,0.4202108140374913,-0.015739161180039537
E3,ppo,2,50,0.43921754923413564,0.24002966590762018,457,1.58092056892779,0.4775787588338146,0.7562467586098957
E3,ppo,2,51,0.427854170678337,0.08711555546729516,457,1.5305037199124727,0.42499005918080657,0.04857393162750153
E3,ppo,2,52,0.4388775382932166,0.23545422469396057,457,1.5503789934354488,0.4523204761042083,0.41635243793032584
