episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.307981,167.06,0.8269,0.4046,98,0.57
1,730,0.99,,0.385338,200.13,0.9906,0.4095,79,0.64
2,1095,0.9851,0.653323,0.397959,215.19,1.0651,0.4197,87,2.96
3,1460,0.9801,0.394321,0.354561,208.03,1.0297,0.4116,71,9.6
4,1825,0.9752,0.140505,0.405883,225.7,1.1172,0.4205,65,9.58
5,2190,0.9704,0.116901,0.395029,235.58,1.1661,0.4132,81,6.13
6,2555,0.9655,0.117214,0.410659,217.54,1.0768,0.4202,64,9.37
7,2920,0.9607,0.114855,0.416323,232.23,1.1495,0.4333,84,9.08
8,3285,0.9559,0.115383,0.324611,189.17,0.9363,0.4064,47,7.6
9,3650,0.9511,0.112105,0.352025,193.58,0.9582,0.4045,70,8.52
10,4015,0.9464,0.11098,0.523997,242.03,1.198,0.417,51,9.21
11,4380,0.9416,0.118898,0.445534,259.45,1.2842,0.4036,63,8.99
12,4745,0.9369,0.120549,0.384337,204.82,1.0138,0.4171,88,6.2
13,5110,0.9322,0.123694,0.485066,257.53,1.2747,0.4196,45,8.94
14,5475,0.9276,0.125152,0.45303,246.69,1.2211,0.4202,71,8.43
15,5840,0.9229,0.131255,0.457291,267.57,1.3244,0.4077,71,8.19
16,6205,0.9183,0.134673,0.518625,272.42,1.3484,0.4177,53,5.41
17,6570,0.9137,0.138743,0.573695,286.94,1.4203,0.4256,36,8.53
18,6935,0.9092,0.140866,0.406792,233.66,1.1566,0.4127,56,8.15
19,7300,0.9046,0.143246,0.454072,251.6,1.2454,0.4181,34,5.75
20,7665,0.9001,0.143843,0.419615,223.62,1.1069,0.4194,75,8.41
21,8030,0.8956,0.143513,0.427156,240.96,1.1927,0.43,94,7.56
22,8395,0.8911,0.147976,0.526274,279.5,1.3835,0.4158,38,7.45
23,8760,0.8867,0.150949,0.52481,290.13,1.4361,0.4132,45,5.87
24,9125,0.8822,0.156044,0.615557,322.33,1.5954,0.4225,58,7.85
25,9490,0.8778,0.159014,0.56638,277.35,1.3728,0.4184,64,7.56
26,9855,0.8734,0.164525,0.495939,269.97,1.3363,0.4236,37,7.68
27,10220,0.8691,0.170174,0.550861,306.36,1.5164,0.4075,45,7.58
28,10585,0.8647,0.174535,0.588851,299.16,1.4808,0.4273,63,4.94
29,10950,0.8604,0.178956,0.570882,284.4,1.4077,0.4337,57,7.92
30,11315,0.8561,0.184821,0.69118,335.54,1.6608,0.4388,107,7.76
31,11680,0.8518,0.186487,0.419442,233.23,1.1545,0.42,78,6.91
32,12045,0.8475,0.187313,0.522535,260.83,1.291,0.4311,51,4.93
33,12410,0.8433,0.189261,0.538625,286.41,1.4177,0.4263,33,7.16
34,12775,0.8391,0.193437,0.561127,279.46,1.3833,0.4231,42,6.62
35,13140,0.8349,0.197373,0.733414,365.6,1.8096,0.412,90,6.93
36,13505,0.8307,0.201943,0.741642,369.81,1.8305,0.4213,103,4.5
37,13870,0.8266,0.208625,0.641869,308.83,1.5287,0.4296,109,7.51
38,14235,0.8224,0.212334,0.788285,377.64,1.8692,0.43,80,7.11
39,14600,0.8183,0.216655,0.661569,335.01,1.6582,0.4313,74,7.22
40,14965,0.8142,0.217961,0.584973,310.37,1.5363,0.414,58,6.82
41,15330,0.8102,0.221052,0.549532,264.86,1.311,0.4425,36,4.56
42,15695,0.8061,0.223969,0.691524,334.95,1.6579,0.4352,75,7.02
43,16060,0.8021,0.226033,0.661464,325.48,1.611,0.4314,34,6.76
44,16425,0.7981,0.230688,0.657445,331.29,1.6398,0.4192,60,6.78
45,16790,0.7941,0.235345,0.716712,365.63,1.8098,0.4345,98,4.26
46,17155,0.7901,0.237535,0.391221,212.48,1.0517,0.4026,48,7.27
47,17520,0.7862,0.236338,0.594209,312.22,1.5454,0.4236,38,7.53
48,17885,0.7822,0.239398,0.804962,382.25,1.892,0.415,108,7.12
49,18250,0.7783,0.245585,0.782605,394.1,1.9507,0.4237,135,7.24
50,18615,0.7744,0.248787,0.58643,309.27,1.5308,0.4326,27,4.42
51,18980,0.7705,0.248163,0.713985,367.57,1.8194,0.4131,91,6.84
52,19345,0.7667,0.252863,0.64242,335.92,1.6627,0.4259,66,7.05
53,19710,0.7629,0.25357,0.662951,339.38,1.6798,0.4153,58,7.01
54,20075,0.759,0.254148,0.767004,385.18,1.9065,0.4151,126,4.31
55,20440,0.7553,0.258677,0.652114,322.52,1.5964,0.4332,79,7.26
56,20805,0.7515,0.260096,0.620116,330.61,1.6364,0.4146,68,7.32
57,21170,0.7477,0.261925,0.721916,376.15,1.8619,0.4201,84,7.14
58,21535,0.744,0.263095,0.464305,240.58,1.1908,0.4108,46,7.07
59,21900,0.7403,0.26329,0.558221,303.0,1.4998,0.4106,35,4.45
60,22265,0.7366,0.262171,0.604931,302.28,1.4962,0.4333,24,6.85
61,22630,0.7329,0.264829,0.701171,353.98,1.7521,0.4186,65,7.44
62,22995,0.7292,0.264928,0.744996,385.1,1.9062,0.4192,115,7.33
63,23360,0.7256,0.26654,0.579021,313.37,1.5511,0.4231,39,6.56
64,23725,0.7219,0.265418,0.662263,349.84,1.7316,0.4227,85,4.14
65,24090,0.7183,0.267029,0.727795,372.03,1.8415,0.4218,99,7.06
66,24455,0.7147,0.26904,0.628104,314.24,1.5554,0.4153,43,6.97
67,24820,0.7112,0.268635,0.800349,376.43,1.8632,0.4153,107,7.27
68,25185,0.7076,0.269711,0.532891,288.25,1.4268,0.4057,85,4.5
69,25550,0.7041,0.26795,0.674018,346.3,1.7141,0.4278,73,7.07
70,25915,0.7005,0.273936,0.66054,334.81,1.6573,0.4101,90,7.07
71,26280,0.697,0.274419,0.586347,287.17,1.4214,0.4162,27,7.22
72,26645,0.6936,0.277509,0.622638,330.15,1.6342,0.4305,36,7.36
73,27010,0.6901,0.276725,0.76967,402.82,1.9939,0.4201,166,4.11
74,27375,0.6866,0.277469,0.757077,384.45,1.9029,0.4275,121,7.2
75,27740,0.6832,0.283088,0.790795,391.95,1.94,0.4131,158,6.94
76,28105,0.6798,0.285491,0.677914,340.02,1.683,0.4136,97,7.2
77,28470,0.6764,0.285124,0.747821,390.45,1.9327,0.4172,169,4.16
78,28835,0.673,0.283407,0.63357,328.29,1.6249,0.4232,34,7.01
79,29200,0.6696,0.285736,0.7512,374.16,1.852,0.422,94,6.57
80,29565,0.6663,0.287805,0.678223,327.7,1.622,0.4182,52,6.71
81,29930,0.663,0.28487,0.688562,354.09,1.7527,0.4253,75,7.14
82,30295,0.6597,0.287938,0.610708,325.48,1.6111,0.4156,48,3.65
83,30660,0.6564,0.28733,0.77675,381.12,1.8865,0.4203,112,6.84
84,31025,0.6531,0.286059,0.57284,276.66,1.3694,0.4255,22,6.7
