episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,0.305883,0.285691,355.68,1.1738,0.3567,50,0.68
1,730,0.99,0.348606,0.3254,464.83,1.5341,0.285,34,0.67
2,1095,0.9851,0.309143,0.275384,255.76,0.8441,0.3695,71,0.69
3,1460,0.9801,0.437992,0.390946,449.88,1.4848,0.2928,10,0.71
4,1825,0.9752,0.293355,0.243635,243.3,0.803,0.3563,33,0.66
5,2190,0.9704,0.333639,0.262369,244.18,0.8059,0.351,28,0.48
6,2555,0.9655,0.324168,0.26179,257.93,0.8513,0.3522,33,0.54
7,2920,0.9607,0.361289,0.286017,288.45,0.952,0.3756,56,0.47
8,3285,0.9559,0.307151,0.228531,227.04,0.7493,0.3577,66,0.49
9,3650,0.9511,0.3598,0.289738,233.43,0.7704,0.3645,69,0.47
10,4015,0.9464,0.385074,0.298378,312.3,1.0307,0.3535,28,0.49
11,4380,0.9416,0.339591,0.245924,228.25,0.7533,0.3445,58,0.47
12,4745,0.9369,0.385525,0.292053,269.81,0.8905,0.3513,44,0.49
13,5110,0.9322,0.528228,0.434724,427.64,1.4114,0.3043,45,0.48
14,5475,0.9276,0.397739,0.291557,254.88,0.8412,0.3458,20,0.5
15,5840,0.9229,0.400582,0.302128,301.57,0.9953,0.3434,39,0.47
16,6205,0.9183,0.401331,0.283686,323.86,1.0688,0.3672,57,0.5
17,6570,0.9137,0.384996,0.274965,233.05,0.7691,0.3581,31,0.47
18,6935,0.9092,0.42825,0.325816,319.28,1.0537,0.3211,42,0.48
19,7300,0.9046,0.424483,0.317408,306.92,1.0129,0.3347,41,0.49
20,7665,0.9001,0.397229,0.266998,276.46,0.9124,0.3342,24,0.48
21,8030,0.8956,0.416665,0.293013,298.65,0.9856,0.3538,15,0.48
22,8395,0.8911,0.450016,0.327232,324.36,1.0705,0.337,18,0.48
23,8760,0.8867,0.479744,0.349716,352.3,1.1627,0.3686,46,0.49
24,9125,0.8822,0.418125,0.30485,324.78,1.0719,0.3354,31,0.48
25,9490,0.8778,0.441139,0.313267,301.16,0.9939,0.3333,15,0.69
26,9855,0.8734,0.469406,0.329404,288.29,0.9515,0.3288,26,0.71
27,10220,0.8691,0.551425,0.401405,510.92,1.6862,0.2562,30,0.67
28,10585,0.8647,0.40462,0.274789,284.47,0.9388,0.3438,46,0.74
29,10950,0.8604,0.501826,0.342106,337.53,1.114,0.3258,8,0.74
30,11315,0.8561,0.442255,0.303499,271.57,0.8963,0.3536,30,0.58
31,11680,0.8518,0.444789,0.304869,300.94,0.9932,0.3317,77,0.48
32,12045,0.8475,0.492668,0.345317,309.69,1.0221,0.3256,36,0.48
33,12410,0.8433,0.483723,0.343611,321.27,1.0603,0.3263,17,0.46
34,12775,0.8391,0.439861,0.287666,274.36,0.9055,0.3367,33,0.49
35,13140,0.8349,0.519932,0.390251,344.47,1.1369,0.3243,9,0.46
