episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.543197,253.08,1.2527,0.4375,57,0.32
1,730,0.99,,0.408562,228.73,1.1322,0.4215,100,0.37
2,1095,0.9851,0.783058,0.366768,199.27,0.9864,0.4063,32,2.02
3,1460,0.9801,0.191455,0.443789,253.61,1.2553,0.4177,81,6.64
4,1825,0.9752,0.176226,0.367654,201.02,0.995,0.4152,109,7.06
5,2190,0.9704,0.151199,0.400755,220.44,1.0911,0.4094,70,6.3
6,2555,0.9655,0.149366,0.446686,246.35,1.2194,0.4144,26,7.14
7,2920,0.9607,0.151314,0.518455,270.5,1.3389,0.4389,65,4.51
8,3285,0.9559,0.15816,0.388908,215.62,1.0673,0.4095,68,7.12
9,3650,0.9511,0.155336,0.398327,209.6,1.0375,0.3934,38,5.5
10,4015,0.9464,0.152873,0.497804,252.19,1.2483,0.4119,27,5.79
11,4380,0.9416,0.15594,0.490933,256.94,1.2718,0.4173,40,6.22
12,4745,0.9369,0.158647,0.322875,179.79,0.8899,0.4089,54,4.86
13,5110,0.9322,0.156808,0.351281,207.5,1.0271,0.4188,104,7.21
14,5475,0.9276,0.151314,0.358004,193.26,0.9566,0.4059,23,7.33
15,5840,0.9229,0.148742,0.413101,214.52,1.0618,0.4128,78,7.23
16,6205,0.9183,0.153043,0.564094,270.71,1.34,0.4254,44,4.73
17,6570,0.9137,0.159613,0.710168,330.8,1.6374,0.4323,87,6.81
18,6935,0.9092,0.16895,0.547156,291.87,1.4447,0.4107,49,6.92
19,7300,0.9046,0.173481,0.544718,275.99,1.3661,0.4242,43,7.21
20,7665,0.9001,0.177865,0.523152,259.3,1.2835,0.4266,35,6.63
21,8030,0.8956,0.182068,0.365844,189.42,0.9376,0.3988,31,4.2
22,8395,0.8911,0.185446,0.624427,309.33,1.5311,0.4326,60,7.17
23,8760,0.8867,0.192502,0.521151,284.77,1.4095,0.4157,54,7.59
24,9125,0.8822,0.195592,0.645874,313.97,1.5541,0.4277,40,6.41
25,9490,0.8778,0.198185,0.64293,303.4,1.5018,0.4269,62,6.75
26,9855,0.8734,0.205652,0.617985,295.61,1.4632,0.4267,64,4.44
27,10220,0.8691,0.21115,0.717878,350.08,1.7328,0.4259,98,7.24
28,10585,0.8647,0.216056,0.732059,365.93,1.8113,0.4183,102,5.94
29,10950,0.8604,0.223875,0.762053,387.92,1.9201,0.4239,135,6.62
30,11315,0.8561,0.235022,0.5532,280.47,1.3882,0.425,57,4.18
31,11680,0.8518,0.240259,0.671981,322.54,1.5965,0.425,79,7.05
32,12045,0.8475,0.242787,0.403267,227.77,1.1274,0.4099,82,6.21
33,12410,0.8433,0.241759,0.667231,301.25,1.4911,0.4517,103,7.58
34,12775,0.8391,0.247921,0.619681,290.29,1.4368,0.4202,45,5.87
35,13140,0.8349,0.25068,0.705131,365.21,1.8077,0.4179,95,3.84
36,13505,0.8307,0.255019,0.616014,326.18,1.6145,0.4211,88,7.88
37,13870,0.8266,0.260634,0.724883,357.17,1.7679,0.422,82,7.05
38,14235,0.8224,0.264877,0.758492,370.41,1.8334,0.4252,110,7.6
39,14600,0.8183,0.269026,0.8649,395.42,1.9572,0.4235,184,6.65
40,14965,0.8142,0.270628,0.591782,297.43,1.4722,0.4281,90,4.72
41,15330,0.8102,0.272745,0.774627,391.61,1.9384,0.4344,140,6.39
42,15695,0.8061,0.27331,0.467316,231.52,1.146,0.4166,29,6.44
43,16060,0.8021,0.275809,0.706229,342.3,1.6943,0.4254,83,7.11
44,16425,0.7981,0.27729,0.716804,374.52,1.8538,0.4266,129,6.42
45,16790,0.7941,0.281008,0.682769,357.13,1.7677,0.4232,97,3.23
46,17155,0.7901,0.280757,0.69962,329.78,1.6323,0.4554,103,6.44
47,17520,0.7862,0.28186,0.781798,382.97,1.8956,0.441,165,5.58
48,17885,0.7822,0.280744,0.606875,312.61,1.5474,0.4251,57,7.29
49,18250,0.7783,0.285083,0.721513,374.5,1.8537,0.4214,128,7.13
50,18615,0.7744,0.28791,0.664305,312.75,1.548,0.4439,94,8.36
51,18980,0.7705,0.289008,0.765864,371.78,1.8402,0.4219,99,6.99
52,19345,0.7667,0.290907,0.625623,302.93,1.4994,0.4587,163,3.52
53,19710,0.7629,0.291345,0.793608,395.98,1.96,0.4212,115,7.06
54,20075,0.759,0.295473,0.742778,369.53,1.8291,0.4242,73,6.4
55,20440,0.7553,0.295923,0.532128,265.07,1.312,0.4252,28,7.13
56,20805,0.7515,0.29362,0.802928,392.43,1.9424,0.421,128,3.91
57,21170,0.7477,0.2956,0.684818,340.7,1.6864,0.4186,36,6.45
58,21535,0.744,0.29714,0.515947,274.78,1.3601,0.429,73,7.18
59,21900,0.7403,0.298017,0.571513,287.1,1.4211,0.4268,75,6.66
60,22265,0.7366,0.298174,0.682695,347.33,1.7192,0.4273,94,6.21
61,22630,0.7329,0.298876,0.753563,375.94,1.8608,0.4277,99,5.07
62,22995,0.7292,0.300703,0.735479,358.6,1.775,0.4249,89,6.53
63,23360,0.7256,0.301698,0.705194,340.5,1.6854,0.4288,48,7.19
64,23725,0.7219,0.300432,0.703522,323.08,1.5992,0.4564,98,7.08
65,24090,0.7183,0.301681,0.674259,323.29,1.6002,0.4248,51,6.33
66,24455,0.7147,0.302356,0.755049,384.42,1.9028,0.42,138,4.84
67,24820,0.7112,0.30214,0.790027,367.92,1.8211,0.4325,107,6.86
68,25185,0.7076,0.303587,0.664145,344.89,1.7071,0.414,78,7.61
69,25550,0.7041,0.302021,0.720522,348.04,1.7227,0.423,124,7.03
70,25915,0.7005,0.302257,0.69389,367.29,1.818,0.4117,96,6.4
71,26280,0.697,0.303689,0.567542,279.54,1.3837,0.4197,78,3.97
72,26645,0.6936,0.305216,0.747945,382.08,1.8912,0.4209,116,6.63
73,27010,0.6901,0.308963,0.750157,379.84,1.8801,0.4257,91,6.27
74,27375,0.6866,0.312883,0.726485,362.09,1.7923,0.4327,106,6.64
75,27740,0.6832,0.313563,0.74303,345.42,1.7097,0.4294,86,6.45
