episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,,,0.30236,425.73,1.405,0.3665,117,0.63
1,730,,,0.256212,321.37,1.0606,0.325,65,0.6
2,1095,,,0.29411,240.06,0.7923,0.3597,44,0.62
3,1460,,,0.307436,385.94,1.2737,0.3298,41,0.9
4,1825,,,0.358067,418.03,1.3796,0.3623,73,0.9
5,2190,,3.485051,0.330487,285.6,0.9426,0.3395,31,1.47
6,2555,,,0.302453,278.02,0.9176,0.3477,38,0.61
7,2920,,,0.338794,375.33,1.2387,0.3719,39,0.62
8,3285,,,0.321875,445.26,1.4695,0.313,60,0.61
9,3650,,,0.343129,338.09,1.1158,0.3327,28,0.6
10,4015,,,0.322558,418.95,1.3827,0.301,62,0.7
11,4380,,2.853489,0.293139,420.6,1.3881,0.3834,108,0.94
12,4745,,,0.362743,399.68,1.3191,0.3903,115,0.65
13,5110,,,0.331664,443.49,1.4637,0.3498,60,0.62
14,5475,,,0.458814,468.79,1.5472,0.3627,92,0.64
15,5840,,,0.4027,475.45,1.5691,0.3387,100,0.6
16,6205,,2.152466,0.403305,394.72,1.3027,0.342,29,0.98
17,6570,,,0.402458,534.04,1.7625,0.2509,99,0.64
18,6935,,,0.414312,473.2,1.5617,0.321,61,0.61
19,7300,,,0.426182,479.29,1.5818,0.3421,85,0.6
20,7665,,,0.449746,530.27,1.7501,0.2719,58,0.72
21,8030,,,0.392484,377.69,1.2465,0.3172,57,0.93
22,8395,,3.128367,0.332637,491.12,1.6209,0.2659,36,1.44
23,8760,,,0.42305,535.44,1.7671,0.2815,78,0.87
24,9125,,,0.425848,537.66,1.7744,0.2785,96,0.6
25,9490,,,0.404402,481.89,1.5904,0.3499,90,0.62
26,9855,,,0.391295,553.64,1.8272,0.2653,125,0.61
27,10220,,,0.482857,553.56,1.8269,0.2937,114,0.64
28,10585,,2.403199,0.397708,475.9,1.5706,0.3579,103,0.89
29,10950,,,0.468578,534.75,1.7649,0.3119,97,0.58
30,11315,,,0.445539,494.92,1.6334,0.3475,109,0.63
31,11680,,,0.371438,577.91,1.9073,0.2401,85,0.61
32,12045,,,0.368722,551.84,1.8213,0.2717,93,0.62
33,12410,,2.030821,0.400064,461.13,1.5219,0.3793,107,0.94
34,12775,,,0.401539,519.17,1.7134,0.2937,84,0.63
35,13140,,,0.380811,596.61,1.969,0.226,94,0.59
36,13505,,,0.466918,539.3,1.7799,0.3109,104,0.66
37,13870,,,0.381354,626.37,2.0672,0.2221,127,0.64
38,14235,,,0.44383,548.27,1.8095,0.3049,98,0.79
39,14600,,2.49065,0.452662,507.69,1.6755,0.3289,113,1.41
40,14965,,,0.46705,487.64,1.6094,0.3122,61,0.98
41,15330,,,0.394924,452.01,1.4918,0.2998,60,0.77
42,15695,,,0.437009,530.58,1.7511,0.2868,91,0.66
43,16060,,,0.404328,510.15,1.6837,0.3283,94,0.62
44,16425,,2.196875,0.393299,448.22,1.4793,0.3145,81,0.91
45,16790,,,0.37375,374.15,1.2348,0.312,48,0.65
46,17155,,,0.45395,430.44,1.4206,0.3009,55,0.63
47,17520,,,0.36195,367.99,1.2145,0.3244,25,0.6
48,17885,,,0.368865,367.73,1.2136,0.2952,73,0.63
49,18250,,,0.372655,340.81,1.1248,0.321,46,0.6
50,18615,,2.168055,0.355098,339.98,1.122,0.3149,109,0.96
51,18980,,,0.384655,353.21,1.1657,0.3645,54,0.69
52,19345,,,0.401259,394.85,1.3031,0.3191,63,0.61
53,19710,,,0.39063,388.93,1.2836,0.3159,33,0.6
54,20075,,,0.331634,350.34,1.1562,0.3285,49,0.63
55,20440,,,0.399956,440.91,1.4552,0.3338,48,0.6
56,20805,,1.977779,0.401649,506.28,1.6709,0.2892,43,1.25
57,21170,,,0.46944,471.46,1.556,0.333,32,0.96
58,21535,,,0.370974,355.67,1.1738,0.2987,88,1.05
59,21900,,,0.357159,372.76,1.2302,0.346,34,0.66
60,22265,,,0.420851,339.0,1.1188,0.3469,66,0.61
61,22630,,2.049086,0.423193,491.63,1.6225,0.3369,65,0.92
62,22995,,,0.375582,355.05,1.1718,0.3246,47,0.62
63,23360,,,0.371019,422.42,1.3941,0.3468,59,0.63
64,23725,,,0.348062,356.34,1.176,0.3347,73,0.65
65,24090,,,0.332223,405.51,1.3383,0.3196,104,0.61
66,24455,,,0.382652,340.85,1.1249,0.3112,82,0.61
67,24820,,1.976925,0.409798,453.51,1.4967,0.2821,131,0.94
68,25185,,,0.465581,519.86,1.7157,0.3067,75,0.63
69,25550,,,0.400322,407.13,1.3437,0.3108,95,0.58
70,25915,,,0.445901,488.69,1.6128,0.3072,73,0.61
71,26280,,,0.454508,409.43,1.3512,0.3111,97,0.6
72,26645,,2.080199,0.384995,362.11,1.1951,0.3358,93,0.91
73,27010,,,0.305274,279.12,0.9212,0.3592,102,0.66
74,27375,,,0.38889,373.43,1.2324,0.3336,74,0.92
75,27740,,,0.383895,348.74,1.1509,0.3424,89,0.86
76,28105,,,0.354396,332.89,1.0987,0.3407,85,1.02
77,28470,,,0.402371,384.3,1.2683,0.2927,110,0.72
78,28835,,1.869601,0.411044,475.63,1.5697,0.3153,76,0.93
79,29200,,,0.420912,464.15,1.5319,0.2999,114,0.64
80,29565,,,0.465372,524.16,1.7299,0.3175,144,0.62
81,29930,,,0.421829,436.46,1.4405,0.2915,147,0.6
82,30295,,,0.444534,534.6,1.7644,0.3149,138,0.62
83,30660,,,0.493606,489.2,1.6145,0.31,139,0.61
84,31025,,2.230226,0.432828,457.24,1.509,0.355,102,0.96
85,31390,,,0.361047,406.41,1.3413,0.368,106,0.61
86,31755,,,0.424801,492.69,1.626,0.3367,76,0.62
87,32120,,,0.359006,401.03,1.3235,0.3593,95,0.63
88,32485,,,0.30977,344.86,1.1382,0.3248,131,0.63
89,32850,,1.725621,0.397941,463.43,1.5295,0.325,100,0.93
90,33215,,,0.428986,534.45,1.7639,0.2944,111,0.62
91,33580,,,0.387979,372.1,1.2281,0.3461,72,0.69
92,33945,,,0.483928,480.9,1.5871,0.2953,144,0.95
93,34310,,,0.470055,472.63,1.5599,0.3263,123,0.84
94,34675,,,0.469463,516.82,1.7057,0.34,126,0.92
95,35040,,2.053476,0.380721,417.29,1.3772,0.3438,76,0.98
96,35405,,,0.404861,412.92,1.3628,0.3895,86,0.59
97,35770,,,0.513576,478.22,1.5783,0.3376,90,0.59
98,36135,,,0.469135,498.39,1.6449,0.3293,89,0.61
