episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,0.297983,0.27902,331.79,1.095,0.351,31,0.65
1,730,0.99,0.323165,0.298072,289.6,0.9558,0.3552,53,0.68
2,1095,0.9851,0.337838,0.302475,309.8,1.0224,0.3397,45,0.69
3,1460,0.9801,0.335942,0.288213,241.49,0.797,0.3636,42,0.69
4,1825,0.9752,0.359599,0.311947,333.09,1.0993,0.3272,51,0.75
5,2190,0.9704,0.330335,0.272525,262.05,0.8649,0.3769,62,0.52
6,2555,0.9655,0.355167,0.288266,327.97,1.0824,0.404,93,0.5
7,2920,0.9607,0.299906,0.228852,219.68,0.725,0.3386,78,0.47
8,3285,0.9559,0.330693,0.250955,226.45,0.7473,0.3386,42,0.5
9,3650,0.9511,0.430244,0.354435,317.52,1.0479,0.3637,12,0.47
10,4015,0.9464,0.35009,0.267134,263.09,0.8683,0.3568,62,0.5
11,4380,0.9416,0.344244,0.252358,203.46,0.6715,0.3599,79,0.47
12,4745,0.9369,0.41774,0.340038,330.76,1.0916,0.3197,17,0.49
13,5110,0.9322,0.462061,0.370176,388.45,1.282,0.3743,24,0.48
14,5475,0.9276,0.340788,0.243838,211.29,0.6973,0.349,65,0.48
15,5840,0.9229,0.385008,0.288335,275.26,0.9084,0.3471,42,0.46
16,6205,0.9183,0.337262,0.247473,297.43,0.9816,0.3272,43,0.46
17,6570,0.9137,0.33753,0.235981,286.27,0.9448,0.3499,70,0.54
18,6935,0.9092,0.41702,0.319926,372.16,1.2282,0.3015,18,0.49
19,7300,0.9046,0.383053,0.26686,269.36,0.889,0.3296,35,0.49
20,7665,0.9001,0.490881,0.386586,452.82,1.4945,0.3046,21,0.48
21,8030,0.8956,0.402573,0.286314,280.65,0.9263,0.3428,36,0.48
22,8395,0.8911,0.340951,0.230242,206.09,0.6802,0.3598,75,0.48
23,8760,0.8867,0.453592,0.350343,402.96,1.3299,0.3365,16,0.49
24,9125,0.8822,0.465888,0.346378,283.32,0.935,0.3626,11,0.48
25,9490,0.8778,0.463262,0.333719,290.75,0.9596,0.3351,46,0.55
26,9855,0.8734,0.407352,0.2911,268.97,0.8877,0.3342,31,0.72
