episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.308084,331.79,1.095,0.3501,31,0.2
1,730,0.99,,0.2967,294.87,0.9732,0.3599,52,0.22
2,1095,0.9851,0.791652,0.315695,315.87,1.0425,0.3409,49,0.88
3,1460,0.9801,0.365889,0.393258,353.06,1.1652,0.3243,58,3.23
4,1825,0.9752,0.129157,0.245571,241.75,0.7978,0.3641,61,2.8
5,2190,0.9704,0.103978,0.280125,312.24,1.0305,0.3356,32,2.84
6,2555,0.9655,0.101478,0.261525,235.04,0.7757,0.3487,30,3.31
7,2920,0.9607,0.097984,0.327729,305.04,1.0067,0.3509,10,3.84
8,3285,0.9559,0.09965,0.24632,228.58,0.7544,0.3504,52,3.24
9,3650,0.9511,0.095367,0.279584,249.92,0.8248,0.3735,55,3.71
10,4015,0.9464,0.094579,0.286807,292.67,0.9659,0.3463,17,4.36
11,4380,0.9416,0.093561,0.290114,267.0,0.8812,0.3549,63,3.92
12,4745,0.9369,0.094485,0.279326,217.9,0.7192,0.35,54,3.23
13,5110,0.9322,0.091065,0.260094,254.26,0.8391,0.3415,66,3.93
14,5475,0.9276,0.089325,0.316407,288.69,0.9528,0.3211,67,3.17
15,5840,0.9229,0.093946,0.300199,281.36,0.9286,0.3488,18,3.44
16,6205,0.9183,0.094366,0.373384,441.33,1.4565,0.3083,33,3.29
17,6570,0.9137,0.093859,0.249132,308.1,1.0168,0.3252,52,3.12
18,6935,0.9092,0.094792,0.319427,320.45,1.0576,0.3472,33,3.37
19,7300,0.9046,0.095336,0.308289,363.6,1.2,0.3426,33,3.81
20,7665,0.9001,0.095475,0.325545,277.26,0.915,0.3665,76,3.65
21,8030,0.8956,0.096276,0.37707,362.1,1.1951,0.3237,17,3.91
22,8395,0.8911,0.097006,0.251004,218.76,0.722,0.3657,53,3.34
23,8760,0.8867,0.098659,0.406044,387.06,1.2774,0.3508,27,2.93
24,9125,0.8822,0.101662,0.430374,452.02,1.4918,0.3364,34,3.53
25,9490,0.8778,0.104644,0.326362,367.85,1.214,0.34,58,3.99
26,9855,0.8734,0.107903,0.343946,338.06,1.1157,0.3511,62,3.04
27,10220,0.8691,0.108488,0.285839,253.03,0.8351,0.3723,46,3.33
28,10585,0.8647,0.107856,0.275286,258.5,0.8531,0.3353,99,3.66
29,10950,0.8604,0.107979,0.33893,392.01,1.2938,0.3361,53,4.52
30,11315,0.8561,0.110549,0.301992,342.54,1.1305,0.3385,80,4.48
31,11680,0.8518,0.110287,0.358851,363.61,1.2,0.3749,25,4.09
32,12045,0.8475,0.111607,0.27355,306.59,1.0118,0.3408,81,3.97
33,12410,0.8433,0.112055,0.305058,260.2,0.8587,0.3583,58,4.35
34,12775,0.8391,0.111866,0.368718,342.16,1.1292,0.3988,35,4.42
35,13140,0.8349,0.112329,0.28084,308.49,1.0181,0.3542,36,4.33
36,13505,0.8307,0.112024,0.258996,250.58,0.827,0.3694,61,4.33
37,13870,0.8266,0.11291,0.299167,323.3,1.067,0.3487,28,3.05
38,14235,0.8224,0.112935,0.303005,279.06,0.921,0.3651,69,3.92
39,14600,0.8183,0.112311,0.322572,331.95,1.0955,0.3474,39,3.42
40,14965,0.8142,0.112868,0.399179,430.89,1.4221,0.353,47,2.87
41,15330,0.8102,0.113885,0.267933,243.18,0.8026,0.3643,101,3.25
42,15695,0.8061,0.111722,0.264853,259.98,0.858,0.3501,80,3.95
43,16060,0.8021,0.112317,0.279011,279.05,0.921,0.3492,78,3.46
44,16425,0.7981,0.111881,0.369665,346.17,1.1425,0.3647,44,3.23
45,16790,0.7941,0.113425,0.329662,294.76,0.9728,0.3647,37,3.01
46,17155,0.7901,0.114219,0.361949,374.8,1.237,0.373,63,3.03
47,17520,0.7862,0.112997,0.305655,367.78,1.2138,0.3152,45,3.68
48,17885,0.7822,0.11322,0.359155,331.49,1.094,0.3832,68,4.41
49,18250,0.7783,0.113989,0.319981,302.04,0.9968,0.3954,70,3.29
50,18615,0.7744,0.112201,0.271983,259.1,0.8551,0.3698,90,3.8
51,18980,0.7705,0.111525,0.349461,323.11,1.0664,0.3864,53,3.3
52,19345,0.7667,0.113389,0.340752,296.64,0.979,0.3796,60,2.89
53,19710,0.7629,0.111446,0.291111,283.03,0.9341,0.3782,77,3.01
54,20075,0.759,0.110295,0.363979,342.79,1.1313,0.3876,39,2.86
55,20440,0.7553,0.10919,0.310746,254.72,0.8407,0.3528,77,2.98
56,20805,0.7515,0.10965,0.294153,276.43,0.9123,0.3437,78,2.91
57,21170,0.7477,0.109126,0.276396,235.03,0.7757,0.3516,47,2.82
58,21535,0.744,0.108466,0.304639,308.55,1.0183,0.3547,60,2.92
59,21900,0.7403,0.107917,0.335611,301.8,0.996,0.3713,69,3.52
60,22265,0.7366,0.10927,0.252141,264.0,0.8713,0.3466,91,2.83
61,22630,0.7329,0.109273,0.293111,261.98,0.8646,0.3556,105,3.19
62,22995,0.7292,0.109215,0.257628,221.57,0.7313,0.355,102,2.78
63,23360,0.7256,0.107587,0.357924,346.6,1.1439,0.3796,44,3.1
64,23725,0.7219,0.10775,0.302163,236.51,0.7806,0.3698,102,2.78
65,24090,0.7183,0.107302,0.372153,335.36,1.1068,0.3363,87,3.12
66,24455,0.7147,0.108767,0.313789,315.91,1.0426,0.3453,118,3.51
67,24820,0.7112,0.108558,0.316453,292.93,0.9668,0.3522,108,3.21
68,25185,0.7076,0.10849,0.329853,284.77,0.9398,0.3658,61,3.45
69,25550,0.7041,0.109608,0.306939,268.98,0.8877,0.3733,72,3.14
70,25915,0.7005,0.107349,0.272764,238.07,0.7857,0.3573,128,3.28
71,26280,0.697,0.1089,0.308321,245.74,0.811,0.3667,92,4.14
72,26645,0.6936,0.107522,0.364531,305.85,1.0094,0.3505,112,3.98
73,27010,0.6901,0.108015,0.285608,240.22,0.7928,0.3717,74,4.18
74,27375,0.6866,0.107113,0.31867,304.01,1.0033,0.3399,68,3.91
75,27740,0.6832,0.107329,0.385587,314.1,1.0366,0.3424,112,3.97
76,28105,0.6798,0.108852,0.371112,351.39,1.1597,0.3344,117,3.93
77,28470,0.6764,0.110128,0.286131,279.62,0.9228,0.3522,61,3.56
78,28835,0.673,0.111648,0.301349,281.41,0.9287,0.3793,77,3.64
79,29200,0.6696,0.111621,0.32877,285.74,0.943,0.3583,98,3.81
80,29565,0.6663,0.110616,0.322316,241.87,0.7983,0.3535,102,3.86
81,29930,0.663,0.111513,0.270387,240.85,0.7949,0.3425,141,3.65
82,30295,0.6597,0.111819,0.358305,271.19,0.895,0.3552,158,3.48
83,30660,0.6564,0.113262,0.327051,294.47,0.9719,0.3235,98,4.09
84,31025,0.6531,0.11336,0.343366,357.66,1.1804,0.3439,42,3.57
85,31390,0.6498,0.115675,0.339449,311.56,1.0283,0.328,89,3.5
86,31755,0.6466,0.115434,0.27504,283.74,0.9364,0.3465,82,4.28
87,32120,0.6433,0.113983,0.308083,270.07,0.8913,0.3409,84,3.25
88,32485,0.6401,0.115377,0.314307,284.17,0.9378,0.3402,151,3.46
89,32850,0.6369,0.116302,0.368095,312.58,1.0316,0.3467,99,3.79
90,33215,0.6337,0.116616,0.292838,234.82,0.775,0.3511,77,4.35
91,33580,0.6306,0.116227,0.266871,262.87,0.8676,0.3435,111,3.9
92,33945,0.6274,0.115954,0.333193,314.18,1.0369,0.3405,112,3.75
93,34310,0.6243,0.117319,0.251957,243.28,0.8029,0.3408,103,3.92
94,34675,0.6211,0.117079,0.334226,333.43,1.1004,0.3297,83,4.13
95,35040,0.618,0.116639,0.331538,297.32,0.9813,0.3314,144,3.32
96,35405,0.6149,0.11816,0.364147,337.86,1.115,0.3493,72,3.99
97,35770,0.6119,0.117437,0.320987,265.47,0.8761,0.3769,129,3.37
98,36135,0.6088,0.117285,0.263741,248.92,0.8215,0.3437,128,3.44
99,36500,0.6058,0.116164,0.335473,301.22,0.9941,0.3404,102,3.06
100,36865,0.6027,0.11655,0.282345,229.74,0.7582,0.3529,122,3.68
101,37230,0.5997,0.115979,0.367559,293.88,0.9699,0.346,116,4.26
102,37595,0.5967,0.115787,0.319867,274.82,0.907,0.346,86,3.96
103,37960,0.5937,0.117224,0.269231,241.86,0.7982,0.3798,95,3.36
104,38325,0.5908,0.116027,0.353679,297.93,0.9833,0.3704,64,4.23
105,38690,0.5878,0.115461,0.351798,275.01,0.9076,0.3629,80,4.35
106,39055,0.5849,0.113804,0.418631,373.51,1.2327,0.3264,74,4.37
107,39420,0.582,0.116058,0.302532,253.33,0.8361,0.369,139,4.19
108,39785,0.579,0.114751,0.340061,308.09,1.0168,0.3512,125,3.42
109,40150,0.5762,0.114035,0.317284,274.1,0.9046,0.3556,80,3.59
110,40515,0.5733,0.114868,0.327955,279.05,0.9209,0.3627,79,3.26
111,40880,0.5704,0.11577,0.366966,310.39,1.0244,0.3388,77,3.3
112,41245,0.5676,0.115142,0.292837,263.8,0.8706,0.3449,137,4.54
113,41610,0.5647,0.115409,0.314024,288.99,0.9538,0.3907,126,4.46
114,41975,0.5619,0.115576,0.372632,323.59,1.068,0.3457,147,4.1
115,42340,0.5591,0.114844,0.272487,318.4,1.0508,0.312,118,3.71
116,42705,0.5563,0.115886,0.341891,316.32,1.0439,0.343,60,3.17
117,43070,0.5535,0.115771,0.31406,254.18,0.8389,0.357,115,3.66
