episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.235666,214.21,0.707,0.3507,57,0.33
1,730,0.99,,0.308931,253.77,0.8375,0.3904,61,0.33
2,1095,0.9851,0.869615,0.334292,477.29,1.5752,0.303,68,1.35
3,1460,0.9801,0.475161,0.294,325.65,1.0747,0.3233,12,4.37
4,1825,0.9752,0.120336,0.256704,245.96,0.8117,0.3476,24,4.3
5,2190,0.9704,0.097996,0.324453,315.99,1.0429,0.323,17,3.35
6,2555,0.9655,0.10325,0.300979,277.23,0.915,0.328,48,3.52
7,2920,0.9607,0.097647,0.262606,258.2,0.8521,0.3372,36,3.23
8,3285,0.9559,0.097567,0.302934,289.98,0.957,0.3756,56,4.18
9,3650,0.9511,0.095887,0.371641,379.65,1.253,0.3414,15,4.11
10,4015,0.9464,0.100151,0.270888,265.04,0.8747,0.3645,40,3.34
11,4380,0.9416,0.096132,0.285494,301.85,0.9962,0.3417,34,3.41
12,4745,0.9369,0.097836,0.312756,304.77,1.0058,0.3412,39,3.19
13,5110,0.9322,0.097749,0.278458,238.43,0.7869,0.3657,46,3.38
14,5475,0.9276,0.094221,0.236007,201.84,0.6661,0.3328,82,3.4
15,5840,0.9229,0.094907,0.379193,354.49,1.1699,0.3273,8,4.2
16,6205,0.9183,0.095616,0.247174,274.7,0.9066,0.3345,52,4.37
17,6570,0.9137,0.095902,0.293936,279.79,0.9234,0.3345,51,4.46
18,6935,0.9092,0.097626,0.350438,418.72,1.3819,0.2906,20,3.95
19,7300,0.9046,0.09791,0.247913,226.83,0.7486,0.3628,64,3.67
20,7665,0.9001,0.09729,0.295978,277.4,0.9155,0.3463,44,4.36
21,8030,0.8956,0.097421,0.295875,311.0,1.0264,0.3582,50,4.41
22,8395,0.8911,0.09874,0.337353,439.61,1.4508,0.2819,6,4.41
23,8760,0.8867,0.102816,0.382515,437.9,1.4452,0.3508,27,4.4
24,9125,0.8822,0.105721,0.329163,320.42,1.0575,0.3645,46,4.14
25,9490,0.8778,0.105772,0.235439,237.49,0.7838,0.3488,61,4.34
26,9855,0.8734,0.1064,0.321055,323.15,1.0665,0.3655,44,4.3
27,10220,0.8691,0.10729,0.316243,292.56,0.9656,0.3355,47,4.33
28,10585,0.8647,0.107516,0.310254,301.95,0.9965,0.3604,54,4.34
29,10950,0.8604,0.108224,0.30669,318.81,1.0522,0.3729,86,4.37
30,11315,0.8561,0.109051,0.360098,318.96,1.0527,0.3672,19,3.37
31,11680,0.8518,0.109112,0.263981,275.16,0.9081,0.3404,53,3.08
32,12045,0.8475,0.10865,0.286183,264.27,0.8722,0.3353,61,3.01
33,12410,0.8433,0.107085,0.29627,258.88,0.8544,0.3447,92,3.32
34,12775,0.8391,0.106139,0.249595,227.54,0.7509,0.3568,90,3.86
35,13140,0.8349,0.107443,0.394352,385.61,1.2726,0.343,11,3.03
36,13505,0.8307,0.109385,0.403128,366.9,1.2109,0.3309,72,3.74
37,13870,0.8266,0.111798,0.331929,312.1,1.03,0.3557,35,3.08
38,14235,0.8224,0.11203,0.295063,258.34,0.8526,0.3631,42,3.13
39,14600,0.8183,0.110035,0.268818,257.51,0.8499,0.3527,74,4.35
40,14965,0.8142,0.11231,0.36282,355.96,1.1748,0.3664,30,3.71
41,15330,0.8102,0.114333,0.334399,330.41,1.0905,0.3733,40,3.37
42,15695,0.8061,0.113908,0.26568,252.0,0.8317,0.3355,77,3.09
43,16060,0.8021,0.113474,0.268462,282.83,0.9334,0.3749,56,3.25
44,16425,0.7981,0.114095,0.343411,286.77,0.9465,0.3882,76,4.32
45,16790,0.7941,0.114443,0.353891,413.47,1.3646,0.3224,20,4.27
46,17155,0.7901,0.116696,0.317033,315.76,1.0421,0.352,35,3.93
47,17520,0.7862,0.117629,0.321863,293.96,0.9702,0.3627,81,3.06
48,17885,0.7822,0.119874,0.388113,395.62,1.3057,0.3605,32,3.11
49,18250,0.7783,0.118455,0.367233,337.19,1.1129,0.3387,48,4.07
50,18615,0.7744,0.118223,0.292943,283.26,0.9349,0.3594,28,4.46
51,18980,0.7705,0.117914,0.323912,290.41,0.9585,0.3543,77,4.47
52,19345,0.7667,0.118857,0.307322,248.59,0.8204,0.3706,80,4.36
53,19710,0.7629,0.118553,0.317643,247.4,0.8165,0.3765,84,4.37
54,20075,0.759,0.118211,0.303679,249.11,0.8222,0.3658,54,4.44
55,20440,0.7553,0.117361,0.302132,281.47,0.9289,0.3696,66,3.56
56,20805,0.7515,0.117715,0.336784,270.58,0.893,0.3652,75,3.71
57,21170,0.7477,0.118413,0.302673,300.44,0.9916,0.363,52,4.1
58,21535,0.744,0.117967,0.309989,299.68,0.989,0.3545,79,4.1
59,21900,0.7403,0.117997,0.335566,325.47,1.0742,0.3386,86,3.97
60,22265,0.7366,0.119353,0.290857,259.54,0.8566,0.3622,60,3.82
61,22630,0.7329,0.118928,0.306671,281.11,0.9278,0.3481,73,3.75
62,22995,0.7292,0.118853,0.270465,249.15,0.8223,0.3637,89,3.39
63,23360,0.7256,0.117472,0.288212,293.17,0.9676,0.3303,73,3.01
64,23725,0.7219,0.119016,0.341899,262.38,0.866,0.3489,79,3.52
65,24090,0.7183,0.118049,0.369153,328.23,1.0833,0.3417,62,2.84
66,24455,0.7147,0.119199,0.29645,264.95,0.8744,0.3545,92,2.81
67,24820,0.7112,0.117789,0.31439,267.95,0.8843,0.3839,78,3.45
68,25185,0.7076,0.119633,0.312692,279.03,0.9209,0.354,57,2.64
69,25550,0.7041,0.118504,0.390902,350.02,1.1552,0.325,86,2.79
70,25915,0.7005,0.119342,0.356737,315.36,1.0408,0.336,69,3.25
71,26280,0.697,0.120242,0.267059,240.31,0.7931,0.3589,75,4.16
72,26645,0.6936,0.119925,0.376984,324.26,1.0702,0.3605,66,4.26
73,27010,0.6901,0.11939,0.327763,278.8,0.9201,0.3603,103,3.66
74,27375,0.6866,0.120179,0.271717,241.97,0.7986,0.3442,134,3.34
75,27740,0.6832,0.120234,0.302067,281.52,0.9291,0.3549,68,4.19
76,28105,0.6798,0.119432,0.313375,255.98,0.8448,0.3529,79,3.44
77,28470,0.6764,0.118114,0.370434,306.27,1.0108,0.3234,107,3.39
78,28835,0.673,0.119136,0.343597,291.34,0.9615,0.3379,91,3.81
79,29200,0.6696,0.119584,0.362382,307.89,1.0162,0.3679,68,3.78
80,29565,0.6663,0.121536,0.344023,313.31,1.034,0.3455,38,3.65
81,29930,0.663,0.121575,0.349297,279.59,0.9227,0.3591,104,3.66
82,30295,0.6597,0.121451,0.302828,271.64,0.8965,0.3375,72,4.17
83,30660,0.6564,0.121733,0.302867,258.14,0.8519,0.3573,97,3.79
84,31025,0.6531,0.121641,0.279008,237.14,0.7827,0.3338,97,3.94
85,31390,0.6498,0.120201,0.31215,260.52,0.8598,0.3527,112,3.91
86,31755,0.6466,0.120952,0.285469,254.57,0.8402,0.3596,89,4.07
87,32120,0.6433,0.12081,0.368547,380.68,1.2564,0.3194,83,3.88
88,32485,0.6401,0.122508,0.377596,367.79,1.2138,0.3046,97,3.88
89,32850,0.6369,0.12003,0.322954,258.45,0.853,0.3615,88,3.85
90,33215,0.6337,0.120229,0.346753,293.7,0.9693,0.3657,61,3.71
91,33580,0.6306,0.120517,0.355332,336.66,1.1111,0.3558,87,4.32
92,33945,0.6274,0.118694,0.341173,309.01,1.0198,0.3439,62,4.15
93,34310,0.6243,0.11841,0.344228,329.48,1.0874,0.3241,67,3.45
94,34675,0.6211,0.119315,0.272827,245.55,0.8104,0.3472,135,4.05
95,35040,0.618,0.119998,0.36481,337.6,1.1142,0.3161,111,3.66
96,35405,0.6149,0.119898,0.288085,263.36,0.8692,0.3677,71,3.7
97,35770,0.6119,0.121858,0.320036,283.73,0.9364,0.3449,68,3.51
98,36135,0.6088,0.121965,0.382729,359.78,1.1874,0.3244,68,3.51
99,36500,0.6058,0.122749,0.335247,298.03,0.9836,0.344,78,4.28
