episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,0.316649,0.29882,301.83,0.9961,0.331,35,0.48
1,730,0.99,0.345715,0.316409,255.51,0.8433,0.3686,33,0.51
2,1095,0.9851,0.324218,0.284887,259.17,0.8554,0.3777,56,0.47
3,1460,0.9801,0.298315,0.248075,207.14,0.6836,0.3628,110,0.7
4,1825,0.9752,0.353185,0.297673,224.99,0.7426,0.3563,85,0.69
5,2190,0.9704,0.305853,0.267115,312.19,1.0303,0.3209,34,0.65
6,2555,0.9655,0.325701,0.262622,240.84,0.7949,0.3488,64,0.72
7,2920,0.9607,0.329828,0.273823,280.58,0.926,0.3572,34,0.77
8,3285,0.9559,0.453539,0.373726,407.41,1.3446,0.3453,28,0.49
9,3650,0.9511,0.352816,0.285661,259.98,0.858,0.356,30,0.51
10,4015,0.9464,0.476158,0.388624,353.97,1.1682,0.3358,13,0.49
11,4380,0.9416,0.435639,0.337512,334.26,1.1032,0.3324,51,0.49
12,4745,0.9369,0.337447,0.244571,220.79,0.7287,0.3573,75,0.5
13,5110,0.9322,0.417224,0.313547,317.42,1.0476,0.3584,17,0.5
14,5475,0.9276,0.368776,0.274186,256.3,0.8459,0.3356,26,0.49
15,5840,0.9229,0.373825,0.288048,348.03,1.1486,0.3403,31,0.49
16,6205,0.9183,0.389261,0.292906,233.42,0.7704,0.3586,34,0.49
17,6570,0.9137,0.429924,0.335618,420.92,1.3892,0.3239,41,0.49
18,6935,0.9092,0.425243,0.319621,347.82,1.1479,0.3611,57,0.5
19,7300,0.9046,0.400534,0.289502,299.74,0.9892,0.3571,38,0.49
20,7665,0.9001,0.329752,0.228839,294.56,0.9721,0.3473,64,0.51
21,8030,0.8956,0.370618,0.260452,214.71,0.7086,0.3446,102,0.49
22,8395,0.8911,0.366998,0.257062,242.07,0.7989,0.3369,40,0.5
23,8760,0.8867,0.425423,0.302571,308.03,1.0166,0.3393,22,0.49
24,9125,0.8822,0.413135,0.301807,279.05,0.921,0.3656,22,0.49
25,9490,0.8778,0.496014,0.36159,332.46,1.0972,0.3332,25,0.53
26,9855,0.8734,0.461141,0.349123,380.59,1.2561,0.3476,29,0.5
27,10220,0.8691,0.381023,0.273069,333.13,1.0994,0.3269,76,0.49
28,10585,0.8647,0.417191,0.272407,273.99,0.9043,0.3389,40,0.68
29,10950,0.8604,0.419252,0.276052,240.27,0.793,0.3521,40,0.67
30,11315,0.8561,0.383838,0.243235,199.48,0.6583,0.3564,98,0.68
31,11680,0.8518,0.381622,0.250679,295.55,0.9754,0.3376,31,0.75
32,12045,0.8475,0.583363,0.439499,405.9,1.3396,0.3337,42,0.72
33,12410,0.8433,0.530617,0.376346,375.63,1.2397,0.3479,25,0.51
34,12775,0.8391,0.507419,0.370973,327.7,1.0815,0.3477,19,0.48
35,13140,0.8349,0.515915,0.36441,378.89,1.2504,0.3249,31,0.51
36,13505,0.8307,0.47384,0.323116,299.15,0.9873,0.3468,30,0.48
37,13870,0.8266,0.452918,0.29586,279.76,0.9233,0.3552,37,0.5
38,14235,0.8224,0.514991,0.379012,367.98,1.2145,0.3423,30,0.48
39,14600,0.8183,0.459701,0.30273,321.64,1.0615,0.3176,12,0.5
40,14965,0.8142,0.428153,0.283421,239.46,0.7903,0.3516,51,0.48
41,15330,0.8102,0.403618,0.243372,283.02,0.9341,0.3395,54,0.49
42,15695,0.8061,0.584673,0.41,505.72,1.669,0.2682,32,0.49
43,16060,0.8021,0.629382,0.445899,416.33,1.374,0.328,21,0.49
44,16425,0.7981,0.413681,0.254245,278.52,0.9192,0.3463,49,0.5
45,16790,0.7941,0.438967,0.258439,219.53,0.7245,0.3572,35,0.49
46,17155,0.7901,0.608843,0.407921,486.14,1.6044,0.2837,34,0.5
47,17520,0.7862,0.470406,0.303537,245.15,0.8091,0.3644,45,0.49
48,17885,0.7822,0.518463,0.335739,312.94,1.0328,0.3413,34,0.51
49,18250,0.7783,0.561962,0.364919,454.91,1.5013,0.3065,28,0.49
50,18615,0.7744,0.446105,0.293958,329.43,1.0872,0.337,44,0.51
51,18980,0.7705,0.517965,0.32717,372.8,1.2304,0.3254,31,0.49
52,19345,0.7667,0.438443,0.278913,315.13,1.04,0.3342,40,0.5
53,19710,0.7629,0.465927,0.29496,278.0,0.9175,0.3625,51,0.71
54,20075,0.759,0.636532,0.431602,453.97,1.4982,0.2772,33,0.7
55,20440,0.7553,0.625444,0.395358,452.71,1.4941,0.3062,23,0.69
56,20805,0.7515,0.502408,0.307392,250.21,0.8258,0.3562,29,0.72
57,21170,0.7477,0.451157,0.257789,254.58,0.8402,0.3393,33,0.73
