episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.254363,234.16,0.7728,0.358,60,29.38
1,730,0.99,,0.296705,346.13,1.1424,0.3372,18,29.4
2,1095,0.9851,0.782642,0.270065,286.18,0.9445,0.338,46,33.23
3,1460,0.9801,0.555761,0.28923,322.96,1.0659,0.3407,62,40.04
4,1825,0.9752,0.095003,0.241585,370.94,1.2242,0.3062,92,39.31
5,2190,0.9704,0.082828,0.284285,267.16,0.8817,0.3501,85,39.58
6,2555,0.9655,0.079058,0.308031,275.06,0.9078,0.3597,92,41.06
7,2920,0.9607,0.080582,0.274189,237.95,0.7853,0.3494,75,39.24
8,3285,0.9559,0.082596,0.334964,354.33,1.1694,0.3195,15,39.61
9,3650,0.9511,0.088234,0.33957,422.97,1.3959,0.3106,17,38.28
10,4015,0.9464,0.090339,0.327329,348.25,1.1493,0.346,58,39.35
11,4380,0.9416,0.091419,0.289264,256.66,0.8471,0.3555,105,39.37
12,4745,0.9369,0.091513,0.269912,263.17,0.8685,0.3551,53,40.47
13,5110,0.9322,0.090659,0.2922,343.75,1.1345,0.3294,28,38.98
14,5475,0.9276,0.089099,0.275936,255.98,0.8448,0.3416,62,39.12
15,5840,0.9229,0.087566,0.267571,246.93,0.8149,0.3512,50,40.42
16,6205,0.9183,0.08773,0.281667,268.76,0.887,0.3469,50,39.43
17,6570,0.9137,0.08647,0.278023,236.36,0.7801,0.3604,72,39.44
18,6935,0.9092,0.085065,0.279604,257.06,0.8484,0.3516,71,40.39
19,7300,0.9046,0.087751,0.351441,375.23,1.2384,0.3365,57,41.14
20,7665,0.9001,0.091,0.403228,411.0,1.3564,0.3303,12,39.96
21,8030,0.8956,0.092072,0.265284,256.87,0.8478,0.3513,60,39.44
22,8395,0.8911,0.09193,0.234317,325.51,1.0743,0.3295,50,40.63
23,8760,0.8867,0.09304,0.275637,269.44,0.8893,0.3766,49,39.6
24,9125,0.8822,0.093419,0.25456,266.36,0.8791,0.3602,62,40.42
25,9490,0.8778,0.09211,0.286691,271.85,0.8972,0.3471,43,41.0
26,9855,0.8734,0.093066,0.27517,249.69,0.8241,0.3514,115,40.22
27,10220,0.8691,0.093004,0.322224,273.76,0.9035,0.3722,42,39.1
28,10585,0.8647,0.092807,0.259754,262.86,0.8675,0.3522,85,38.3
29,10950,0.8604,0.092586,0.389869,338.62,1.1175,0.3396,74,39.4
30,11315,0.8561,0.097237,0.347903,413.55,1.3649,0.3669,70,39.75
31,11680,0.8518,0.097425,0.313888,341.48,1.127,0.3502,44,40.02
32,12045,0.8475,0.097852,0.365155,370.28,1.222,0.3468,39,40.87
33,12410,0.8433,0.098293,0.315981,289.78,0.9564,0.3832,88,38.52
34,12775,0.8391,0.09889,0.332817,304.31,1.0043,0.386,81,39.8
35,13140,0.8349,0.09805,0.272099,239.82,0.7915,0.3697,103,39.09
36,13505,0.8307,0.098126,0.312472,311.59,1.0283,0.3425,54,39.4
37,13870,0.8266,0.099309,0.307894,316.08,1.0432,0.3624,71,39.59
38,14235,0.8224,0.097551,0.297787,239.11,0.7891,0.3737,109,39.93
39,14600,0.8183,0.097406,0.285694,254.69,0.8406,0.3608,119,38.94
40,14965,0.8142,0.096542,0.287004,236.77,0.7814,0.3685,69,39.17
41,15330,0.8102,0.095575,0.338203,273.09,0.9013,0.3599,50,39.78
42,15695,0.8061,0.096215,0.263932,230.65,0.7612,0.3746,118,41.08
43,16060,0.8021,0.095852,0.263882,281.48,0.929,0.3343,95,40.48
44,16425,0.7981,0.096264,0.29964,298.29,0.9845,0.3621,42,40.99
45,16790,0.7941,0.096238,0.291946,258.72,0.8539,0.3772,115,39.85
46,17155,0.7901,0.096581,0.347305,307.93,1.0163,0.3538,82,39.53
47,17520,0.7862,0.098099,0.308973,301.5,0.9951,0.3507,28,39.66
48,17885,0.7822,0.098869,0.334067,335.95,1.1087,0.3447,45,39.14
49,18250,0.7783,0.098881,0.294775,271.01,0.8944,0.3859,76,38.11
50,18615,0.7744,0.099917,0.315058,308.0,1.0165,0.3608,84,40.13
51,18980,0.7705,0.10162,0.318466,293.45,0.9685,0.353,50,39.68
52,19345,0.7667,0.101239,0.301841,347.39,1.1465,0.3229,56,39.55
53,19710,0.7629,0.102655,0.343182,319.4,1.0541,0.369,63,39.97
54,20075,0.759,0.103834,0.385096,357.23,1.179,0.3389,60,39.28
55,20440,0.7553,0.103841,0.290445,302.19,0.9973,0.3449,71,40.41
56,20805,0.7515,0.103413,0.322926,346.24,1.1427,0.3436,40,39.58
57,21170,0.7477,0.103927,0.29288,265.96,0.8777,0.3716,64,39.24
58,21535,0.744,0.104359,0.36153,335.92,1.1086,0.3501,75,39.71
59,21900,0.7403,0.105563,0.325525,306.66,1.0121,0.3418,125,38.99
60,22265,0.7366,0.107971,0.304097,281.28,0.9283,0.3872,109,39.17
61,22630,0.7329,0.107995,0.340609,327.91,1.0822,0.3301,106,39.43
62,22995,0.7292,0.108171,0.395553,331.94,1.0955,0.3437,90,40.78
63,23360,0.7256,0.110222,0.361098,360.2,1.1888,0.3335,46,39.92
64,23725,0.7219,0.111876,0.358365,378.96,1.2507,0.3275,64,39.78
65,24090,0.7183,0.112319,0.38169,382.53,1.2625,0.3318,78,40.41
66,24455,0.7147,0.114617,0.286051,276.61,0.9129,0.3475,132,40.95
67,24820,0.7112,0.114294,0.327375,302.11,0.9971,0.3357,76,40.79
68,25185,0.7076,0.113912,0.300315,277.73,0.9166,0.3663,138,38.89
69,25550,0.7041,0.113506,0.300612,284.35,0.9385,0.3387,102,39.37
70,25915,0.7005,0.113398,0.354949,363.03,1.1981,0.3229,107,40.89
71,26280,0.697,0.115064,0.360038,315.94,1.0427,0.3526,106,40.54
72,26645,0.6936,0.116679,0.323995,348.04,1.1487,0.3209,85,40.24
73,27010,0.6901,0.116869,0.377948,317.63,1.0483,0.338,68,41.2
74,27375,0.6866,0.115847,0.32618,288.24,0.9513,0.3365,110,40.21
75,27740,0.6832,0.116885,0.240959,231.07,0.7626,0.356,151,40.86
76,28105,0.6798,0.117102,0.408114,406.84,1.3427,0.3112,80,40.64
77,28470,0.6764,0.119328,0.330491,305.42,1.008,0.3463,95,40.79
78,28835,0.673,0.1187,0.372304,423.59,1.398,0.2852,125,40.49
79,29200,0.6696,0.119165,0.364042,409.27,1.3507,0.2887,58,41.43
80,29565,0.6663,0.119375,0.365764,340.64,1.1242,0.3521,86,39.46
81,29930,0.663,0.119883,0.296933,330.48,1.0907,0.3287,76,40.91
82,30295,0.6597,0.121746,0.334426,416.85,1.3757,0.3265,33,39.5
83,30660,0.6564,0.120981,0.300118,287.69,0.9495,0.3538,115,39.66
84,31025,0.6531,0.121259,0.300625,277.3,0.9152,0.3539,97,40.82
85,31390,0.6498,0.120037,0.37706,352.8,1.1644,0.3313,70,39.66
86,31755,0.6466,0.121426,0.322674,301.39,0.9947,0.3437,87,39.17
87,32120,0.6433,0.121001,0.355261,389.88,1.2867,0.3154,72,40.49
88,32485,0.6401,0.121627,0.334999,306.51,1.0116,0.3374,123,39.02
89,32850,0.6369,0.123911,0.370365,325.13,1.073,0.3493,101,40.01
90,33215,0.6337,0.122344,0.381001,390.08,1.2874,0.3169,78,39.6
91,33580,0.6306,0.123329,0.332824,307.82,1.0159,0.3355,110,40.03
92,33945,0.6274,0.12454,0.358084,320.99,1.0594,0.3413,110,40.62
93,34310,0.6243,0.124532,0.283292,270.68,0.8933,0.3497,73,39.4
94,34675,0.6211,0.122651,0.366943,414.94,1.3694,0.2984,43,40.43
95,35040,0.618,0.121927,0.345955,346.09,1.1422,0.3315,105,40.81
96,35405,0.6149,0.123566,0.32842,306.05,1.0101,0.3504,93,40.2
97,35770,0.6119,0.1237,0.32583,322.57,1.0646,0.3603,61,39.88
98,36135,0.6088,0.124329,0.318732,344.07,1.1355,0.3261,61,39.33
99,36500,0.6058,0.125917,0.334199,291.11,0.9608,0.342,91,40.17
100,36865,0.6027,0.124336,0.301102,295.52,0.9753,0.3569,98,40.08
101,37230,0.5997,0.123538,0.341025,391.46,1.292,0.314,83,39.99
102,37595,0.5967,0.124356,0.32103,347.16,1.1457,0.3425,52,41.34
103,37960,0.5937,0.125928,0.346727,316.71,1.0453,0.3718,117,40.78
104,38325,0.5908,0.127746,0.409134,382.73,1.2631,0.3351,96,39.93
105,38690,0.5878,0.128509,0.318377,277.51,0.9159,0.3715,158,39.01
106,39055,0.5849,0.12862,0.353974,346.04,1.1421,0.3395,67,38.94
107,39420,0.582,0.129168,0.400489,425.88,1.4055,0.3102,106,40.61
108,39785,0.579,0.128795,0.301262,269.18,0.8884,0.3766,147,39.26
109,40150,0.5762,0.129462,0.376223,398.9,1.3165,0.3261,82,39.21
110,40515,0.5733,0.128909,0.350877,357.23,1.179,0.3199,84,39.88
111,40880,0.5704,0.130752,0.403645,396.26,1.3078,0.3328,71,40.79
112,41245,0.5676,0.130804,0.359405,378.38,1.2488,0.3328,80,40.94
113,41610,0.5647,0.13075,0.257925,237.96,0.7853,0.356,189,40.05
114,41975,0.5619,0.131189,0.310582,366.37,1.2092,0.3356,124,39.78
115,42340,0.5591,0.130146,0.35624,347.54,1.147,0.3502,127,40.43
116,42705,0.5563,0.130756,0.358087,326.04,1.076,0.3442,137,40.39
117,43070,0.5535,0.130393,0.337184,290.49,0.9587,0.3537,110,39.58
