episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,0.284748,0.264899,306.58,1.0118,0.3489,45,0.48
1,730,0.99,0.404817,0.372644,442.22,1.4595,0.3575,56,0.48
2,1095,0.9851,0.341701,0.301672,291.76,0.9629,0.3435,12,0.47
3,1460,0.9801,0.351515,0.302508,252.0,0.8317,0.36,10,0.48
4,1825,0.9752,0.416628,0.352411,375.97,1.2408,0.2984,40,0.46
5,2190,0.9704,0.38587,0.324263,281.4,0.9287,0.3562,28,0.48
6,2555,0.9655,0.364973,0.304032,321.0,1.0594,0.3539,46,0.47
7,2920,0.9607,0.346208,0.263228,256.59,0.8468,0.3468,12,0.49
8,3285,0.9559,0.346443,0.260396,226.18,0.7465,0.344,46,0.48
9,3650,0.9511,0.335722,0.254785,247.95,0.8183,0.3442,48,0.47
10,4015,0.9464,0.334695,0.248053,233.24,0.7698,0.3391,54,0.49
11,4380,0.9416,0.357879,0.268398,236.15,0.7794,0.3489,52,0.46
12,4745,0.9369,0.348349,0.268318,231.54,0.7642,0.3783,71,0.71
13,5110,0.9322,0.350409,0.260141,260.89,0.861,0.3497,98,0.69
14,5475,0.9276,0.373734,0.286623,252.81,0.8344,0.3439,74,0.66
15,5840,0.9229,0.368374,0.260664,241.55,0.7972,0.3452,59,0.73
16,6205,0.9183,0.515149,0.406356,401.52,1.3252,0.2937,4,0.78
17,6570,0.9137,0.373047,0.281449,306.47,1.0115,0.3434,56,0.56
18,6935,0.9092,0.341764,0.229172,205.44,0.678,0.3427,71,0.49
19,7300,0.9046,0.398496,0.28466,300.23,0.9909,0.3391,64,0.46
20,7665,0.9001,0.440774,0.320371,349.85,1.1546,0.3681,41,0.52
21,8030,0.8956,0.388774,0.266197,226.2,0.7465,0.3564,72,0.49
22,8395,0.8911,0.308112,0.210336,229.4,0.7571,0.3501,86,0.47
23,8760,0.8867,0.354493,0.246967,232.05,0.7659,0.3572,31,0.48
24,9125,0.8822,0.388794,0.271181,250.62,0.8271,0.3499,22,0.46
25,9490,0.8778,0.400925,0.270294,279.97,0.924,0.3732,26,0.48
26,9855,0.8734,0.399419,0.275136,266.35,0.879,0.3377,47,0.47
27,10220,0.8691,0.418339,0.285396,254.42,0.8397,0.346,22,0.48
28,10585,0.8647,0.411543,0.267983,255.63,0.8437,0.3263,56,0.48
29,10950,0.8604,0.36032,0.216632,200.45,0.6615,0.3576,89,0.48
30,11315,0.8561,0.40851,0.289486,378.89,1.2505,0.3299,38,0.47
31,11680,0.8518,0.368195,0.249662,240.95,0.7952,0.341,22,0.46
32,12045,0.8475,0.435918,0.290751,263.97,0.8712,0.336,31,0.48
33,12410,0.8433,0.396976,0.271588,257.56,0.85,0.3542,44,0.48
34,12775,0.8391,0.429522,0.284948,377.17,1.2448,0.2942,16,0.49
35,13140,0.8349,0.366408,0.2344,249.8,0.8244,0.3438,83,0.47
36,13505,0.8307,0.482043,0.337997,340.01,1.1222,0.3534,22,0.49
37,13870,0.8266,0.407929,0.250768,223.69,0.7383,0.3479,46,0.47
38,14235,0.8224,0.513695,0.355386,414.88,1.3692,0.3183,18,0.72
39,14600,0.8183,0.53087,0.349431,402.17,1.3273,0.2813,24,0.69
40,14965,0.8142,0.571235,0.409344,409.67,1.352,0.3031,19,0.67
41,15330,0.8102,0.433103,0.27246,240.25,0.7929,0.3387,53,0.73
42,15695,0.8061,0.563612,0.384076,334.37,1.1035,0.3126,15,0.74
43,16060,0.8021,0.439657,0.269513,239.84,0.7916,0.3543,33,0.53
44,16425,0.7981,0.458059,0.268419,226.42,0.7473,0.356,49,0.48
45,16790,0.7941,0.444461,0.270699,226.42,0.7473,0.363,45,0.49
46,17155,0.7901,0.415845,0.226799,196.33,0.648,0.3508,78,0.47
47,17520,0.7862,0.457123,0.280005,279.87,0.9237,0.3454,29,0.49
48,17885,0.7822,0.476827,0.312807,317.88,1.0491,0.3273,54,0.46
49,18250,0.7783,0.492699,0.306349,308.73,1.0189,0.3302,11,0.49
50,18615,0.7744,0.432804,0.229822,222.06,0.7329,0.3508,64,0.47
51,18980,0.7705,0.560676,0.368108,328.82,1.0852,0.3872,15,0.5
52,19345,0.7667,0.551835,0.36116,354.14,1.1688,0.3389,3,0.47
53,19710,0.7629,0.523121,0.313259,305.49,1.0082,0.3422,19,0.49
54,20075,0.759,0.427277,0.233172,201.0,0.6634,0.3595,88,0.48
55,20440,0.7553,0.489051,0.287425,230.33,0.7602,0.3527,41,0.5
56,20805,0.7515,0.445271,0.256576,222.35,0.7338,0.3469,54,0.47
57,21170,0.7477,0.471438,0.271426,247.37,0.8164,0.3345,24,0.5
58,21535,0.744,0.517405,0.333034,329.14,1.0863,0.3186,60,0.48
59,21900,0.7403,0.493784,0.285581,287.9,0.9502,0.3647,15,0.48
60,22265,0.7366,0.523994,0.344944,354.92,1.1714,0.3325,10,0.49
61,22630,0.7329,0.522209,0.320687,302.37,0.9979,0.3323,48,0.47
62,22995,0.7292,0.536626,0.34054,275.69,0.9099,0.3625,36,0.49
63,23360,0.7256,0.493884,0.305957,259.25,0.8556,0.3662,27,0.5
64,23725,0.7219,0.477508,0.307125,296.59,0.9788,0.3306,27,0.72
65,24090,0.7183,0.63842,0.418583,487.46,1.6088,0.2723,21,0.69
66,24455,0.7147,0.64438,0.397594,448.21,1.4792,0.2841,25,0.65
67,24820,0.7112,0.493058,0.277989,229.47,0.7573,0.3489,31,0.74
68,25185,0.7076,0.485856,0.273382,222.21,0.7334,0.3662,78,0.78
69,25550,0.7041,0.49491,0.293303,244.31,0.8063,0.3394,25,0.52
70,25915,0.7005,0.536892,0.300353,273.84,0.9038,0.331,9,0.47
71,26280,0.697,0.484503,0.264221,280.72,0.9265,0.3341,69,0.49
72,26645,0.6936,0.504515,0.310606,271.17,0.895,0.3599,15,0.46
73,27010,0.6901,0.614359,0.380322,407.88,1.3461,0.2989,29,0.52
74,27375,0.6866,0.559579,0.320929,315.46,1.0411,0.3117,19,0.46
75,27740,0.6832,0.508648,0.261263,244.09,0.8056,0.3417,17,0.49
76,28105,0.6798,0.587457,0.354677,292.47,0.9653,0.3335,25,0.46
77,28470,0.6764,0.548307,0.301453,263.36,0.8692,0.3488,37,0.49
78,28835,0.673,0.500153,0.239219,220.65,0.7282,0.3459,53,0.49
79,29200,0.6696,0.532299,0.268945,209.31,0.6908,0.357,38,0.52
80,29565,0.6663,0.493789,0.249234,195.46,0.6451,0.3528,76,0.47
81,29930,0.663,0.575709,0.327658,393.55,1.2988,0.2882,12,0.49
82,30295,0.6597,0.620523,0.379179,367.85,1.214,0.3147,1,0.46
83,30660,0.6564,0.497277,0.246808,232.77,0.7682,0.3467,44,0.49
84,31025,0.6531,0.499167,0.261825,263.41,0.8693,0.3364,34,0.47
85,31390,0.6498,0.474554,0.234912,213.31,0.704,0.3418,55,0.48
86,31755,0.6466,0.55349,0.324087,293.14,0.9674,0.3921,36,0.49
87,32120,0.6433,0.50401,0.270653,251.15,0.8289,0.3467,52,0.48
88,32485,0.6401,0.628664,0.380968,389.32,1.2849,0.2923,15,0.5
89,32850,0.6369,0.546888,0.323425,310.03,1.0232,0.3443,35,0.52
90,33215,0.6337,0.52824,0.276557,216.15,0.7134,0.3535,37,0.71
91,33580,0.6306,0.527492,0.267906,264.89,0.8742,0.3413,20,0.95
92,33945,0.6274,0.558698,0.302556,267.06,0.8814,0.3397,9,0.71
93,34310,0.6243,0.502805,0.292814,263.34,0.8691,0.3549,56,0.73
94,34675,0.6211,0.519693,0.257662,236.53,0.7806,0.3472,17,0.76
95,35040,0.618,0.56105,0.311916,267.75,0.8837,0.3494,23,0.48
96,35405,0.6149,0.542814,0.288637,258.44,0.8529,0.3395,15,0.49
97,35770,0.6119,0.513825,0.27921,288.07,0.9507,0.3461,16,0.48
98,36135,0.6088,0.612926,0.340683,398.38,1.3148,0.2819,14,0.49
99,36500,0.6058,0.640555,0.380009,370.61,1.2231,0.3291,10,0.5
100,36865,0.6027,0.577466,0.33,286.77,0.9464,0.3428,24,0.49
101,37230,0.5997,0.497398,0.261145,216.93,0.7159,0.354,39,0.49
102,37595,0.5967,0.694946,0.42088,462.46,1.5263,0.2821,11,0.49
103,37960,0.5937,0.552564,0.269449,228.35,0.7536,0.3464,8,0.48
104,38325,0.5908,0.560714,0.267096,235.3,0.7766,0.3569,40,0.46
105,38690,0.5878,0.564543,0.314038,310.83,1.0258,0.3371,3,0.5
106,39055,0.5849,0.667979,0.384918,449.29,1.4828,0.2639,31,0.49
107,39420,0.582,0.631127,0.36192,304.97,1.0065,0.3405,1,0.53
108,39785,0.579,0.617988,0.324583,518.78,1.7122,0.2329,39,0.47
109,40150,0.5762,0.57399,0.325085,286.88,0.9468,0.351,9,0.5
110,40515,0.5733,0.572616,0.269018,250.52,0.8268,0.3501,37,0.47
111,40880,0.5704,0.53656,0.272648,260.11,0.8585,0.3439,14,0.5
112,41245,0.5676,0.681929,0.35204,404.75,1.3358,0.2798,1,0.47
113,41610,0.5647,0.667412,0.368039,432.07,1.426,0.2702,12,0.51
114,41975,0.5619,0.694162,0.387668,499.46,1.6484,0.2574,19,0.46
115,42340,0.5591,0.603308,0.317274,319.51,1.0545,0.329,18,0.65
116,42705,0.5563,0.655657,0.353678,387.39,1.2785,0.2947,2,0.68
117,43070,0.5535,0.710412,0.354923,439.46,1.4504,0.2873,10,0.69
118,43435,0.5507,0.611762,0.268231,265.34,0.8757,0.3408,9,0.75
119,43800,0.548,0.622814,0.301596,276.18,0.9115,0.3306,35,0.73
120,44165,0.5452,0.711325,0.367346,410.32,1.3542,0.2792,22,0.62
121,44530,0.5425,0.63454,0.285953,246.12,0.8123,0.3393,40,0.47
