episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.299464,344.13,1.1358,0.3989,56,0.32
1,730,0.99,,0.25521,300.93,0.9932,0.3513,67,0.38
2,1095,0.9851,0.697379,0.30191,327.54,1.081,0.3301,13,1.36
3,1460,0.9801,0.473075,0.303252,389.89,1.2868,0.3598,40,3.97
4,1825,0.9752,0.162614,0.308532,338.2,1.1162,0.3205,13,4.14
5,2190,0.9704,0.097646,0.293062,257.89,0.8511,0.3617,42,3.85
6,2555,0.9655,0.091215,0.320154,298.73,0.9859,0.3466,34,4.45
7,2920,0.9607,0.087706,0.29082,285.94,0.9437,0.3852,51,3.66
8,3285,0.9559,0.086659,0.269268,318.01,1.0495,0.3366,81,4.06
9,3650,0.9511,0.084563,0.289884,283.86,0.9368,0.3568,69,3.92
10,4015,0.9464,0.083334,0.320864,324.69,1.0716,0.3266,41,3.46
11,4380,0.9416,0.085118,0.286131,334.73,1.1047,0.333,12,4.07
12,4745,0.9369,0.086473,0.326763,380.12,1.2545,0.2857,34,4.09
13,5110,0.9322,0.092452,0.318505,424.02,1.3994,0.3222,49,3.83
14,5475,0.9276,0.093996,0.331012,405.99,1.3399,0.3098,57,4.05
15,5840,0.9229,0.097276,0.229984,222.95,0.7358,0.3508,82,4.13
16,6205,0.9183,0.096218,0.310513,324.64,1.0714,0.3381,50,4.43
17,6570,0.9137,0.097619,0.285584,320.03,1.0562,0.347,72,3.2
18,6935,0.9092,0.099014,0.368916,371.72,1.2268,0.3426,26,4.06
19,7300,0.9046,0.103676,0.351828,452.58,1.4937,0.3176,30,3.58
20,7665,0.9001,0.10619,0.310477,381.94,1.2605,0.3163,40,4.0
21,8030,0.8956,0.107214,0.272984,274.05,0.9045,0.3523,70,4.06
22,8395,0.8911,0.104859,0.254098,216.92,0.7159,0.3499,145,4.0
23,8760,0.8867,0.106347,0.275341,399.87,1.3197,0.3243,63,3.9
24,9125,0.8822,0.10771,0.300454,360.15,1.1886,0.3158,57,3.67
25,9490,0.8778,0.108597,0.316053,331.43,1.0938,0.3299,43,4.03
26,9855,0.8734,0.10904,0.290555,252.79,0.8343,0.3648,93,3.26
27,10220,0.8691,0.110775,0.335388,321.13,1.0598,0.3375,48,4.13
28,10585,0.8647,0.111265,0.286029,256.58,0.8468,0.3648,79,4.26
29,10950,0.8604,0.111074,0.316542,365.31,1.2056,0.3708,45,5.74
30,11315,0.8561,0.113027,0.298668,301.7,0.9957,0.3423,70,5.02
31,11680,0.8518,0.112118,0.289956,298.79,0.9861,0.3887,80,4.31
32,12045,0.8475,0.111513,0.27159,254.54,0.8401,0.3592,121,4.52
33,12410,0.8433,0.112374,0.325423,311.87,1.0293,0.3738,78,3.48
34,12775,0.8391,0.112475,0.303345,279.86,0.9236,0.3716,74,4.36
35,13140,0.8349,0.112291,0.30209,264.63,0.8734,0.3567,69,4.19
36,13505,0.8307,0.111469,0.263768,271.51,0.8961,0.3325,55,4.41
37,13870,0.8266,0.112007,0.324545,269.24,0.8886,0.3643,84,4.35
38,14235,0.8224,0.111118,0.288701,260.61,0.8601,0.361,79,4.54
39,14600,0.8183,0.11108,0.263989,237.29,0.7831,0.3488,105,3.97
40,14965,0.8142,0.110329,0.319116,302.32,0.9977,0.3491,54,3.86
41,15330,0.8102,0.109237,0.290129,323.42,1.0674,0.3426,96,4.2
42,15695,0.8061,0.108127,0.237064,232.91,0.7687,0.3482,122,4.3
43,16060,0.8021,0.107297,0.280982,235.71,0.7779,0.3633,121,4.54
