episode,global_step,epsilon,mean_loss,reward_per_agent_step,mean_price,mean_price_ratio,mean_booking_prob,boundary_hits,seconds
0,365,0.995,,0.327819,186.73,0.9242,0.408,71,0.41
1,730,0.99,,0.329804,186.94,0.9253,0.3999,74,0.3
2,1095,0.9851,0.593145,0.405025,221.3,1.0954,0.4189,31,2.26
3,1460,0.9801,0.34196,0.406246,239.3,1.1845,0.4025,49,6.59
4,1825,0.9752,0.141701,0.411863,236.39,1.1701,0.4007,62,6.42
5,2190,0.9704,0.123679,0.422346,214.86,1.0635,0.4184,25,6.54
6,2555,0.9655,0.12632,0.429556,244.5,1.2102,0.4202,67,5.71
7,2920,0.9607,0.121511,0.344015,192.74,0.954,0.401,76,3.03
8,3285,0.9559,0.119383,0.372791,217.14,1.0748,0.3985,101,5.44
9,3650,0.9511,0.116866,0.433284,243.94,1.2075,0.4004,49,5.94
10,4015,0.9464,0.113855,0.309153,180.2,0.892,0.4186,82,7.22
11,4380,0.9416,0.109708,0.303676,176.98,0.876,0.3995,47,5.99
12,4745,0.9369,0.109627,0.503742,258.64,1.2802,0.4302,70,3.45
13,5110,0.9322,0.113311,0.453077,222.43,1.101,0.4319,67,5.59
14,5475,0.9276,0.116541,0.444789,236.95,1.1728,0.4176,33,6.13
15,5840,0.9229,0.120989,0.561892,294.63,1.4583,0.4184,105,5.73
16,6205,0.9183,0.129553,0.458442,229.55,1.1362,0.4189,36,5.86
17,6570,0.9137,0.132282,0.578168,282.38,1.3977,0.4384,50,6.63
18,6935,0.9092,0.135912,0.32675,183.05,0.9061,0.4037,93,4.62
19,7300,0.9046,0.136538,0.282354,151.69,0.7508,0.3933,115,7.37
20,7665,0.9001,0.138522,0.596163,301.69,1.4933,0.4209,70,6.62
21,8030,0.8956,0.142609,0.485548,245.79,1.2166,0.4271,27,6.58
22,8395,0.8911,0.146871,0.566116,305.67,1.513,0.4146,65,4.48
23,8760,0.8867,0.154527,0.566048,280.58,1.3888,0.4229,74,7.75
24,9125,0.8822,0.159348,0.618841,312.1,1.5448,0.4247,57,6.17
25,9490,0.8778,0.164765,0.645697,326.5,1.6161,0.4369,74,5.95
26,9855,0.8734,0.171083,0.5988,294.99,1.4601,0.4293,70,6.3
27,10220,0.8691,0.174982,0.564538,276.28,1.3675,0.4303,46,5.28
28,10585,0.8647,0.177439,0.512499,244.02,1.2079,0.432,34,6.5
29,10950,0.8604,0.179162,0.638792,324.77,1.6075,0.4165,101,7.49
30,11315,0.8561,0.181617,0.381281,205.01,1.0147,0.4161,65,6.99
31,11680,0.8518,0.182343,0.667426,321.01,1.5889,0.4312,98,6.39
32,12045,0.8475,0.187319,0.666374,333.55,1.651,0.4271,97,5.21
33,12410,0.8433,0.193077,0.812741,381.34,1.8875,0.4227,125,7.11
34,12775,0.8391,0.199064,0.622845,310.67,1.5378,0.4345,59,6.89
35,13140,0.8349,0.204887,0.747088,374.15,1.8519,0.4236,116,6.26
36,13505,0.8307,0.207101,0.689266,342.27,1.6942,0.4259,109,5.04
37,13870,0.8266,0.21378,0.574158,281.8,1.3949,0.4279,55,7.06
38,14235,0.8224,0.213025,0.572738,303.52,1.5023,0.4135,47,6.75
39,14600,0.8183,0.217491,0.659835,331.2,1.6393,0.4242,97,6.48
40,14965,0.8142,0.219754,0.615894,296.07,1.4655,0.4299,74,6.49
41,15330,0.8102,0.22401,0.726171,363.32,1.7983,0.4259,114,4.31
42,15695,0.8061,0.22665,0.666156,341.8,1.6918,0.4201,104,5.72
43,16060,0.8021,0.230157,0.724298,351.51,1.7399,0.4266,132,5.85
44,16425,0.7981,0.235804,0.729995,330.49,1.6358,0.4499,84,6.75
45,16790,0.7941,0.240889,0.753856,359.82,1.781,0.4185,111,7.85
46,17155,0.7901,0.244201,0.496578,278.45,1.3783,0.4004,47,3.98
47,17520,0.7862,0.242617,0.633432,298.8,1.479,0.4328,38,6.63
48,17885,0.7822,0.245946,0.543222,281.66,1.3942,0.4233,44,6.11
49,18250,0.7783,0.246425,0.542523,269.79,1.3354,0.4159,34,7.37
50,18615,0.7744,0.245406,0.578232,288.66,1.4288,0.4273,33,5.86
51,18980,0.7705,0.250434,0.714953,368.73,1.8251,0.4282,115,5.33
52,19345,0.7667,0.251447,0.491491,268.54,1.3292,0.4173,15,6.49
53,19710,0.7629,0.251199,0.728456,366.58,1.8145,0.4133,108,6.18
54,20075,0.759,0.249355,0.393648,189.65,0.9387,0.4123,103,7.41
55,20440,0.7553,0.249329,0.480712,236.18,1.169,0.4232,45,7.11
56,20805,0.7515,0.25118,0.563013,267.9,1.3261,0.4368,58,5.03
57,21170,0.7477,0.250322,0.641494,300.95,1.4896,0.4319,56,7.93
58,21535,0.744,0.248747,0.567694,303.0,1.4998,0.4179,49,7.31
59,21900,0.7403,0.249638,0.583296,276.89,1.3706,0.429,24,6.58
60,22265,0.7366,0.248542,0.694199,336.65,1.6663,0.4209,114,4.23
61,22630,0.7329,0.251011,0.595788,268.04,1.3267,0.4192,100,6.24
62,22995,0.7292,0.254845,0.469958,262.62,1.2999,0.4084,36,6.84
63,23360,0.7256,0.25667,0.761257,376.77,1.8649,0.4275,112,7.23
64,23725,0.7219,0.256958,0.666954,349.21,1.7285,0.4164,80,6.73
65,24090,0.7183,0.260368,0.712595,356.71,1.7656,0.4351,125,6.92
66,24455,0.7147,0.260125,0.610559,287.44,1.4227,0.424,39,7.46
67,24820,0.7112,0.261883,0.759326,374.21,1.8523,0.4116,154,3.32
68,25185,0.7076,0.261068,0.491357,279.58,1.3839,0.3935,27,6.75
69,25550,0.7041,0.263287,0.694766,361.28,1.7883,0.4186,94,7.24
70,25915,0.7005,0.262734,0.653864,309.03,1.5296,0.4309,82,6.95
71,26280,0.697,0.263507,0.616498,315.09,1.5596,0.4151,78,6.3
72,26645,0.6936,0.263386,0.721887,362.24,1.793,0.412,100,5.07
73,27010,0.6901,0.265506,0.69241,336.93,1.6677,0.4178,84,7.53
74,27375,0.6866,0.263566,0.624916,304.73,1.5083,0.4311,78,6.69
75,27740,0.6832,0.264104,0.748994,391.4,1.9373,0.4155,144,7.16
76,28105,0.6798,0.267672,0.649804,341.14,1.6885,0.418,85,4.47
77,28470,0.6764,0.267315,0.604063,299.0,1.48,0.4222,82,6.8
78,28835,0.673,0.268065,0.630646,326.53,1.6162,0.4176,53,6.98
79,29200,0.6696,0.270829,0.721412,370.98,1.8362,0.4043,141,7.6
80,29565,0.6663,0.272057,0.64997,316.95,1.5689,0.4287,83,6.89
81,29930,0.663,0.273463,0.516014,251.97,1.2472,0.424,74,5.05
82,30295,0.6597,0.270308,0.679985,342.29,1.6943,0.4223,92,6.59
83,30660,0.6564,0.272106,0.673008,309.9,1.5339,0.4265,120,6.37
84,31025,0.6531,0.272721,0.69528,334.13,1.6539,0.43,68,6.95
85,31390,0.6498,0.272246,0.735083,378.61,1.874,0.4192,107,6.17
86,31755,0.6466,0.271409,0.613452,322.51,1.5964,0.4044,87,4.65
87,32120,0.6433,0.271178,0.758451,388.87,1.9248,0.4139,153,6.92
88,32485,0.6401,0.273596,0.519275,262.82,1.3009,0.4129,30,7.6
89,32850,0.6369,0.271407,0.718092,357.93,1.7717,0.4104,132,6.73
90,33215,0.6337,0.272477,0.74762,386.83,1.9147,0.4183,128,4.4
91,33580,0.6306,0.271801,0.708228,372.22,1.8424,0.4161,131,6.75
92,33945,0.6274,0.270675,0.667212,326.25,1.6148,0.4152,86,7.07
93,34310,0.6243,0.272084,0.637303,338.64,1.6762,0.4089,104,7.29
94,34675,0.6211,0.273394,0.692199,354.53,1.7548,0.4087,77,6.43
95,35040,0.618,0.273921,0.765757,374.97,1.856,0.429,125,5.09
96,35405,0.6149,0.273798,0.687362,333.04,1.6485,0.4209,87,6.31
97,35770,0.6119,0.274975,0.4262,207.63,1.0277,0.4182,38,8.04
98,36135,0.6088,0.275354,0.734142,375.63,1.8593,0.4124,161,7.37
99,36500,0.6058,0.275805,0.643639,335.18,1.6591,0.4233,90,6.55
100,36865,0.6027,0.274115,0.760397,378.35,1.8727,0.41,129,4.98
101,37230,0.5997,0.277407,0.73106,354.71,1.7557,0.4216,105,6.94
102,37595,0.5967,0.276473,0.677296,379.57,1.8788,0.4109,141,6.69
103,37960,0.5937,0.278573,0.688313,355.63,1.7603,0.423,101,8.69
104,38325,0.5908,0.283394,0.805739,389.43,1.9276,0.4296,187,4.17
105,38690,0.5878,0.283405,0.645331,327.07,1.6189,0.4124,118,6.97
106,39055,0.5849,0.283912,0.611581,311.76,1.5431,0.4014,115,6.91
107,39420,0.582,0.280691,0.697129,348.49,1.7249,0.4129,131,6.21
108,39785,0.579,0.281909,0.767232,375.83,1.8602,0.4196,151,6.62
109,40150,0.5762,0.282217,0.70782,350.88,1.7368,0.4077,128,4.71
